# pixel_index	counts_u16	rel_intensity
0	3264	0.0498054475
1	3200	0.0488288701
2	3200	0.0488288701
3	3456	0.0527351797
4	3072	0.0468757153
5	3072	0.0468757153
6	3072	0.0468757153
7	3072	0.0468757153
8	3200	0.0488288701
9	3200	0.0488288701
10	3200	0.0488288701
11	3456	0.0527351797
12	3072	0.0468757153
13	3072	0.0468757153
14	3072	0.0468757153
15	3072	0.0468757153
16	3200	0.0488288701
17	3200	0.0488288701
18	3200	0.0488288701
19	3456	0.0527351797
20	3328	0.0507820249
21	3328	0.0507820249
22	3072	0.0468757153
23	3328	0.0507820249
24	3200	0.0488288701
25	3456	0.0527351797
26	3456	0.0527351797
27	3456	0.0527351797
28	3328	0.0507820249
29	3328	0.0507820249
30	3072	0.0468757153
31	3328	0.0507820249
32	3200	0.0488288701
33	3456	0.0527351797
34	3200	0.0488288701
35	3712	0.0566414893
36	3072	0.0468757153
37	3072	0.0468757153
38	3328	0.0507820249
39	3328	0.0507820249
40	3456	0.0527351797
41	3712	0.0566414893
42	3456	0.0527351797
43	3456	0.0527351797
44	3328	0.0507820249
45	3584	0.0546883345
46	3328	0.0507820249
47	3584	0.0546883345
48	3712	0.0566414893
49	3712	0.0566414893
50	3456	0.0527351797
51	3712	0.0566414893
52	3584	0.0546883345
53	3840	0.0585946441
54	5120	0.0781261921
55	5120	0.0781261921
56	5504	0.0839856565
57	5504	0.0839856565
58	5504	0.0839856565
59	5248	0.0800793469
60	5632	0.0859388113
61	5632	0.0859388113
62	5632	0.0859388113
63	6400	0.0976577401
64	8832	0.1347676814
65	11136	0.1699244678
66	10368	0.1582055390
67	10368	0.1582055390
68	8960	0.1367208362
69	9472	0.1445334554
70	9472	0.1445334554
71	9472	0.1445334554
72	9344	0.1425803006
73	8320	0.1269550622
74	7296	0.1113298238
75	6016	0.0917982757
76	5120	0.0781261921
77	4864	0.0742198825
78	4608	0.0703135729
79	4608	0.0703135729
80	4992	0.0761730373
81	6016	0.0917982757
82	8320	0.1269550622
83	10880	0.1660181582
84	12800	0.1953154803
85	14336	0.2187533379
86	14848	0.2265659571
87	14848	0.2265659571
88	13184	0.2011749447
89	10880	0.1660181582
90	8832	0.1347676814
91	7040	0.1074235142
92	5632	0.0859388113
93	5376	0.0820325017
94	4864	0.0742198825
95	5120	0.0781261921
96	4992	0.0761730373
97	5504	0.0839856565
98	5760	0.0878919661
99	7040	0.1074235142
100	9728	0.1484397650
101	16384	0.2500038148
102	32256	0.4921950103
103	51968	0.7929808499
104	61824	0.9433737697
105	49792	0.7597772183
106	30592	0.4668039979
107	18048	0.2753948272
108	11008	0.1679713130
109	7936	0.1210955978
110	6656	0.1015640497
111	6400	0.0976577401
112	6272	0.0957045853
113	7296	0.1113298238
114	10880	0.1660181582
115	17536	0.2675822080
116	21248	0.3242236973
117	22272	0.3398489357
118	24320	0.3710994125
119	22528	0.3437552453
120	19840	0.3027389944
121	16512	0.2519569696
122	15232	0.2324254215
123	14464	0.2207064927
124	14080	0.2148470283
125	24832	0.3789120317
126	65280	0.9961089494
127	22529	0.3437705043
128	35200	0.5371175708
129	23168	0.3535210193
130	20096	0.3066453040
131	17536	0.2675822080
132	16896	0.2578164340
133	18432	0.2812542916
134	14080	0.2148470283
135	7936	0.1210955978
136	7040	0.1074235142
137	6528	0.0996108949
138	6784	0.1035172045
139	7040	0.1074235142
140	8448	0.1289082170
141	6912	0.1054703593
142	5888	0.0898451209
143	5632	0.0859388113
144	6528	0.0996108949
145	5760	0.0878919661
146	5760	0.0878919661
147	5504	0.0839856565
148	5376	0.0820325017
149	5376	0.0820325017
150	5376	0.0820325017
151	5376	0.0820325017
152	6272	0.0957045853
153	6016	0.0917982757
154	5504	0.0839856565
155	5248	0.0800793469
156	4608	0.0703135729
157	4608	0.0703135729
158	5888	0.0898451209
159	8960	0.1367208362
160	9856	0.1503929198
161	7552	0.1152361334
162	5248	0.0800793469
163	4224	0.0644541085
164	4352	0.0664072633
165	4096	0.0625009537
166	4096	0.0625009537
167	4352	0.0664072633
168	4736	0.0722667277
169	4736	0.0722667277
170	4736	0.0722667277
171	4736	0.0722667277
172	4352	0.0664072633
173	4608	0.0703135729
174	4608	0.0703135729
175	4352	0.0664072633
176	4736	0.0722667277
177	4736	0.0722667277
178	4736	0.0722667277
179	4736	0.0722667277
180	4352	0.0664072633
181	4352	0.0664072633
182	4352	0.0664072633
183	4608	0.0703135729
184	4736	0.0722667277
185	4480	0.0683604181
186	4480	0.0683604181
187	4480	0.0683604181
188	4608	0.0703135729
189	4608	0.0703135729
190	4352	0.0664072633
191	4864	0.0742198825
192	4480	0.0683604181
193	4480	0.0683604181
194	4736	0.0722667277
195	4480	0.0683604181
196	4608	0.0703135729
197	4352	0.0664072633
198	4352	0.0664072633
199	4352	0.0664072633
200	4224	0.0644541085
201	4480	0.0683604181
202	4480	0.0683604181
203	4224	0.0644541085
204	4352	0.0664072633
205	4352	0.0664072633
206	4352	0.0664072633
207	4096	0.0625009537
208	4224	0.0644541085
209	4224	0.0644541085
210	4224	0.0644541085
211	4224	0.0644541085
212	4096	0.0625009537
213	3840	0.0585946441
214	3840	0.0585946441
215	4096	0.0625009537
216	3968	0.0605477989
217	3968	0.0605477989
218	3968	0.0605477989
219	3968	0.0605477989
220	3840	0.0585946441
221	3584	0.0546883345
222	3584	0.0546883345
223	3840	0.0585946441
224	3712	0.0566414893
225	3968	0.0605477989
226	3712	0.0566414893
227	3712	0.0566414893
228	3584	0.0546883345
229	3328	0.0507820249
230	3584	0.0546883345
231	3584	0.0546883345
232	3456	0.0527351797
233	3712	0.0566414893
234	3456	0.0527351797
235	3712	0.0566414893
236	3328	0.0507820249
237	3584	0.0546883345
238	3328	0.0507820249
239	3328	0.0507820249
240	3200	0.0488288701
241	3200	0.0488288701
242	2944	0.0449225605
243	3200	0.0488288701
244	2816	0.0429694057
245	3072	0.0468757153
246	2816	0.0429694057
247	3072	0.0468757153
248	2944	0.0449225605
249	2944	0.0449225605
250	2944	0.0449225605
251	3200	0.0488288701
252	2560	0.0390630961
253	2816	0.0429694057
254	2560	0.0390630961
255	0512	0.0078126192
