# wavelength_nm	counts_u16	rel_intensity
1.000000	1963	0.0299534600
2.000000	2110	0.0321965362
3.000000	1677	0.0255893797
4.000000	2136	0.0325932708
5.000000	1915	0.0292210269
6.000000	2035	0.0310521096
7.000000	2092	0.0319218738
8.000000	1773	0.0270542458
9.000000	2158	0.0329289693
10.000000	2056	0.0313725490
11.000000	2414	0.0368352789
12.000000	2076	0.0316777295
13.000000	1961	0.0299229419
14.000000	1973	0.0301060502
15.000000	2134	0.0325627527
16.000000	1799	0.0274509804
17.000000	1574	0.0240177005
18.000000	1781	0.0271763180
19.000000	2092	0.0319218738
20.000000	2188	0.0333867399
21.000000	2049	0.0312657359
22.000000	2050	0.0312809949
23.000000	1968	0.0300297551
24.000000	2018	0.0307927062
25.000000	1845	0.0281528954
26.000000	1855	0.0283054856
27.000000	1980	0.0302128634
28.000000	2131	0.0325169757
29.000000	2113	0.0322423133
30.000000	2170	0.0331120775
31.000000	1922	0.0293278401
32.000000	2061	0.0314488441
33.000000	1887	0.0287937743
34.000000	1697	0.0258945602
35.000000	2134	0.0325627527
36.000000	2065	0.0315098802
37.000000	1947	0.0297093156
38.000000	1841	0.0280918593
39.000000	1842	0.0281071183
40.000000	1773	0.0270542458
41.000000	2032	0.0310063325
42.000000	1855	0.0283054856
43.000000	1830	0.0279240101
44.000000	2223	0.0339208057
45.000000	1965	0.0299839780
46.000000	1778	0.0271305409
47.000000	1988	0.0303349355
48.000000	1981	0.0302281224
49.000000	2050	0.0312809949
50.000000	2079	0.0317235065
51.000000	2372	0.0361943999
52.000000	1749	0.0266880293
53.000000	1979	0.0301976043
54.000000	2169	0.0330968185
55.000000	1782	0.0271915770
56.000000	1796	0.0274052033
57.000000	1983	0.0302586404
58.000000	1962	0.0299382010
59.000000	1923	0.0293430991
60.000000	2073	0.0316319524
61.000000	2040	0.0311284047
62.000000	1985	0.0302891585
63.000000	1704	0.0260013733
64.000000	1948	0.0297245747
65.000000	2285	0.0348668650
66.000000	1720	0.0262455177
67.000000	1877	0.0286411841
68.000000	2152	0.0328374151
69.000000	2153	0.0328526741
70.000000	1629	0.0248569467
71.000000	2024	0.0308842603
72.000000	2080	0.0317387655
73.000000	1979	0.0301976043
74.000000	2305	0.0351720455
75.000000	1866	0.0284733349
76.000000	1852	0.0282597086
77.000000	1650	0.0251773861
78.000000	1778	0.0271305409
79.000000	2041	0.0311436637
80.000000	1822	0.0278019379
81.000000	1922	0.0293278401
82.000000	1909	0.0291294728
83.000000	2143	0.0327000839
84.000000	1857	0.0283360037
85.000000	1843	0.0281223774
86.000000	1941	0.0296177615
87.000000	1883	0.0287327382
88.000000	1926	0.0293888762
89.000000	1924	0.0293583581
90.000000	2043	0.0311741817
91.000000	2123	0.0323949035
92.000000	2040	0.0311284047
93.000000	1861	0.0283970397
94.000000	1866	0.0284733349
95.000000	2716	0.0414435035
96.000000	2055	0.0313572900
97.000000	2039	0.0311131456
98.000000	2033	0.0310215915
99.000000	1802	0.0274967575
100.000000	2160	0.0329594873
101.000000	1964	0.0299687190
102.000000	1925	0.0293736172
103.000000	1713	0.0261387045
104.000000	2214	0.0337834745
105.000000	1826	0.0278629740
106.000000	1789	0.0272983902
107.000000	1623	0.0247653925
108.000000	2308	0.0352178225
109.000000	1860	0.0283817807
110.000000	1866	0.0284733349
111.000000	1973	0.0301060502
112.000000	1977	0.0301670863
113.000000	1800	0.0274662394
114.000000	2050	0.0312809949
115.000000	1987	0.0303196765
116.000000	1789	0.0272983902
117.000000	1916	0.0292362860
118.000000	1845	0.0281528954
119.000000	1915	0.0292210269
120.000000	1813	0.0276646067
121.000000	1693	0.0258335241
122.000000	1920	0.0292973220
123.000000	1538	0.0234683757
124.000000	1743	0.0265964752
125.000000	1968	0.0300297551
126.000000	1982	0.0302433814
127.000000	1815	0.0276951247
128.000000	2233	0.0340733959
129.000000	2051	0.0312962539
130.000000	1727	0.0263523308
131.000000	2048	0.0312504768
132.000000	1990	0.0303654536
133.000000	1899	0.0289768826
134.000000	1835	0.0280003052
135.000000	1986	0.0303044175
136.000000	1962	0.0299382010
137.000000	2339	0.0356908522
138.000000	1897	0.0289463645
139.000000	2086	0.0318303197
140.000000	2024	0.0308842603
141.000000	2110	0.0321965362
142.000000	1878	0.0286564431
143.000000	2025	0.0308995193
144.000000	1747	0.0266575113
145.000000	2085	0.0318150607
146.000000	1952	0.0297856107
147.000000	1828	0.0278934920
148.000000	2081	0.0317540246
149.000000	1976	0.0301518273
150.000000	1939	0.0295872435
151.000000	2177	0.0332188907
152.000000	1808	0.0275883116
153.000000	2237	0.0341344320
154.000000	1888	0.0288090333
155.000000	1880	0.0286869612
156.000000	2432	0.0371099413
157.000000	1875	0.0286106661
158.000000	2152	0.0328374151
159.000000	2125	0.0324254215
160.000000	1802	0.0274967575
161.000000	1828	0.0278934920
162.000000	2022	0.0308537423
163.000000	1850	0.0282291905
164.000000	1979	0.0301976043
165.000000	2162	0.0329900053
166.000000	1872	0.0285648890
167.000000	2094	0.0319523919
168.000000	1966	0.0299992370
169.000000	1845	0.0281528954
170.000000	2001	0.0305333028
171.000000	2088	0.0318608377
172.000000	1906	0.0290836957
173.000000	1928	0.0294193942
174.000000	1986	0.0303044175
175.000000	1953	0.0298008698
176.000000	1965	0.0299839780
177.000000	1863	0.0284275578
178.000000	1973	0.0301060502
179.000000	2061	0.0314488441
180.000000	1689	0.0257724880
181.000000	1844	0.0281376364
182.000000	1847	0.0281834134
183.000000	2003	0.0305638209
184.000000	1877	0.0286411841
185.000000	1951	0.0297703517
186.000000	1705	0.0260166323
187.000000	1921	0.0293125811
188.000000	2022	0.0308537423
189.000000	1771	0.0270237278
190.000000	1963	0.0299534600
191.000000	1807	0.0275730526
192.000000	1537	0.0234531167
193.000000	2078	0.0317082475
194.000000	1936	0.0295414664
195.000000	1918	0.0292668040
196.000000	1905	0.0290684367
197.000000	1756	0.0267948425
198.000000	1795	0.0273899443
199.000000	1806	0.0275577935
200.000000	1839	0.0280613413
201.000000	2020	0.0308232242
202.000000	1993	0.0304112306
203.000000	1903	0.0290379187
204.000000	1960	0.0299076829
205.000000	2014	0.0307316701
206.000000	2010	0.0306706340
207.000000	2231	0.0340428779
208.000000	2033	0.0310215915
209.000000	2219	0.0338597696
210.000000	1971	0.0300755322
211.000000	2024	0.0308842603
212.000000	1975	0.0301365682
213.000000	2337	0.0356603342
214.000000	2033	0.0310215915
215.000000	2158	0.0329289693
216.000000	2145	0.0327306020
217.000000	1898	0.0289616236
218.000000	1976	0.0301518273
219.000000	1857	0.0283360037
220.000000	2089	0.0318760967
221.000000	1909	0.0291294728
222.000000	2145	0.0327306020
223.000000	2049	0.0312657359
224.000000	1984	0.0302738994
225.000000	2116	0.0322880903
226.000000	2000	0.0305180438
227.000000	1754	0.0267643244
228.000000	1989	0.0303501946
229.000000	1855	0.0283054856
230.000000	1734	0.0264591440
231.000000	1845	0.0281528954
232.000000	2136	0.0325932708
233.000000	1968	0.0300297551
234.000000	2128	0.0324711986
235.000000	1754	0.0267643244
236.000000	2028	0.0309452964
237.000000	1707	0.0260471504
238.000000	1934	0.0295109483
239.000000	1881	0.0287022202
240.000000	2184	0.0333257038
241.000000	1892	0.0288700694
242.000000	1788	0.0272831312
243.000000	1937	0.0295567254
244.000000	1907	0.0290989548
245.000000	2026	0.0309147784
246.000000	1651	0.0251926452
247.000000	1799	0.0274509804
248.000000	1935	0.0295262074
249.000000	1906	0.0290836957
250.000000	1873	0.0285801480
251.000000	2165	0.0330357824
252.000000	2150	0.0328068971
253.000000	1677	0.0255893797
254.000000	2070	0.0315861753
255.000000	2085	0.0318150607
256.000000	2027	0.0309300374
257.000000	1736	0.0264896620
258.000000	1821	0.0277866789
259.000000	2002	0.0305485618
260.000000	2041	0.0311436637
261.000000	2208	0.0336919203
262.000000	1728	0.0263675898
263.000000	2203	0.0336156252
264.000000	1953	0.0298008698
265.000000	1846	0.0281681544
266.000000	2196	0.0335088121
267.000000	1727	0.0263523308
268.000000	1788	0.0272831312
269.000000	1987	0.0303196765
270.000000	1855	0.0283054856
271.000000	2172	0.0331425956
272.000000	1942	0.0296330205
273.000000	1919	0.0292820630
274.000000	1853	0.0282749676
275.000000	1820	0.0277714199
276.000000	2186	0.0333562219
277.000000	1725	0.0263218128
278.000000	2050	0.0312809949
279.000000	1906	0.0290836957
280.000000	2052	0.0313115129
281.000000	1910	0.0291447318
282.000000	2017	0.0307774472
283.000000	2038	0.0310978866
284.000000	1813	0.0276646067
285.000000	2029	0.0309605554
286.000000	1945	0.0296787976
287.000000	2079	0.0317235065
288.000000	2070	0.0315861753
289.000000	2331	0.0355687800
290.000000	1699	0.0259250782
291.000000	1988	0.0303349355
292.000000	1962	0.0299382010
293.000000	1775	0.0270847639
294.000000	2371	0.0361791409
295.000000	1740	0.0265506981
296.000000	1928	0.0294193942
297.000000	2128	0.0324711986
298.000000	1953	0.0298008698
299.000000	2097	0.0319981689
300.000000	2055	0.0313572900
301.000000	2050	0.0312809949
302.000000	2033	0.0310215915
303.000000	2208	0.0336919203
304.000000	2198	0.0335393301
305.000000	1794	0.0273746853
306.000000	1973	0.0301060502
307.000000	2094	0.0319523919
308.000000	2022	0.0308537423
309.000000	2229	0.0340123598
310.000000	2203	0.0336156252
311.000000	1889	0.0288242924
312.000000	2222	0.0339055467
313.000000	2028	0.0309452964
314.000000	1758	0.0268253605
315.000000	2215	0.0337987335
316.000000	1900	0.0289921416
317.000000	2208	0.0336919203
318.000000	1954	0.0298161288
319.000000	2128	0.0324711986
320.000000	2142	0.0326848249
321.000000	2041	0.0311436637
322.000000	2066	0.0315251392
323.000000	2129	0.0324864576
324.000000	1831	0.0279392691
325.000000	1908	0.0291142138
326.000000	2147	0.0327611200
327.000000	1770	0.0270084688
328.000000	2116	0.0322880903
329.000000	1906	0.0290836957
330.000000	2127	0.0324559396
331.000000	2186	0.0333562219
332.000000	2147	0.0327611200
333.000000	2326	0.0354924849
334.000000	1904	0.0290531777
335.000000	1996	0.0304570077
336.000000	2301	0.0351110094
337.000000	2016	0.0307621881
338.000000	2045	0.0312046998
339.000000	2141	0.0326695659
340.000000	2059	0.0314183261
341.000000	2052	0.0313115129
342.000000	1894	0.0289005875
343.000000	1993	0.0304112306
344.000000	2205	0.0336461433
345.000000	1953	0.0298008698
346.000000	2108	0.0321660182
347.000000	1933	0.0294956893
348.000000	2165	0.0330357824
349.000000	2085	0.0318150607
350.000000	2158	0.0329289693
351.000000	1796	0.0274052033
352.000000	2096	0.0319829099
353.000000	2020	0.0308232242
354.000000	2239	0.0341649500
355.000000	2142	0.0326848249
356.000000	2076	0.0316777295
357.000000	1839	0.0280613413
358.000000	2271	0.0346532387
359.000000	2233	0.0340733959
360.000000	2106	0.0321355001
361.000000	2028	0.0309452964
362.000000	2201	0.0335851072
363.000000	2451	0.0373998627
364.000000	2252	0.0343633173
365.000000	1802	0.0274967575
366.000000	2127	0.0324559396
367.000000	2141	0.0326695659
368.000000	2341	0.0357213703
369.000000	1935	0.0295262074
370.000000	2127	0.0324559396
371.000000	2047	0.0312352178
372.000000	2081	0.0317540246
373.000000	2034	0.0310368505
374.000000	1854	0.0282902266
375.000000	2019	0.0308079652
376.000000	1926	0.0293888762
377.000000	2072	0.0316166934
378.000000	1919	0.0292820630
379.000000	2203	0.0336156252
380.000000	2234	0.0340886549
381.000000	2094	0.0319523919
382.000000	1948	0.0297245747
383.000000	2177	0.0332188907
384.000000	2136	0.0325932708
385.000000	2205	0.0336461433
386.000000	2249	0.0343175402
387.000000	2097	0.0319981689
388.000000	2347	0.0358129244
389.000000	2291	0.0349584192
390.000000	2089	0.0318760967
391.000000	2117	0.0323033494
392.000000	2116	0.0322880903
393.000000	2344	0.0357671473
394.000000	2139	0.0326390478
395.000000	2085	0.0318150607
396.000000	2038	0.0310978866
397.000000	2150	0.0328068971
398.000000	2022	0.0308537423
399.000000	2305	0.0351720455
400.000000	2230	0.0340276188
401.000000	2181	0.0332799268
402.000000	2093	0.0319371328
403.000000	2224	0.0339360647
404.000000	2152	0.0328374151
405.000000	2019	0.0308079652
406.000000	1856	0.0283207446
407.000000	2123	0.0323949035
408.000000	1777	0.0271152819
409.000000	1984	0.0302738994
410.000000	2032	0.0310063325
411.000000	1846	0.0281681544
412.000000	2343	0.0357518883
413.000000	1991	0.0303807126
414.000000	2191	0.0334325170
415.000000	2209	0.0337071794
416.000000	2155	0.0328831922
417.000000	1899	0.0289768826
418.000000	1899	0.0289768826
419.000000	2283	0.0348363470
420.000000	2023	0.0308690013
421.000000	2052	0.0313115129
422.000000	2165	0.0330357824
423.000000	2336	0.0356450752
424.000000	2030	0.0309758145
425.000000	1891	0.0288548104
426.000000	2117	0.0323033494
427.000000	2214	0.0337834745
428.000000	2267	0.0345922026
429.000000	2133	0.0325474937
430.000000	2087	0.0318455787
431.000000	2092	0.0319218738
432.000000	2114	0.0322575723
433.000000	2027	0.0309300374
434.000000	2111	0.0322117952
435.000000	1941	0.0296177615
436.000000	2148	0.0327763790
437.000000	2060	0.0314335851
438.000000	1937	0.0295567254
439.000000	1852	0.0282597086
440.000000	2290	0.0349431601
441.000000	2043	0.0311741817
442.000000	2055	0.0313572900
443.000000	2398	0.0365911345
444.000000	2050	0.0312809949
445.000000	1808	0.0275883116
446.000000	2029	0.0309605554
447.000000	2415	0.0368505379
448.000000	2257	0.0344396124
449.000000	2170	0.0331120775
450.000000	2030	0.0309758145
451.000000	2310	0.0352483406
452.000000	2202	0.0336003662
453.000000	1979	0.0301976043
454.000000	2024	0.0308842603
455.000000	2101	0.0320592050
456.000000	2219	0.0338597696
457.000000	2032	0.0310063325
458.000000	2132	0.0325322347
459.000000	2281	0.0348058289
460.000000	2329	0.0355382620
461.000000	1811	0.0276340887
462.000000	2209	0.0337071794
463.000000	2040	0.0311284047
464.000000	2317	0.0353551537
465.000000	2318	0.0353704128
466.000000	2108	0.0321660182
467.000000	2134	0.0325627527
468.000000	2109	0.0321812772
469.000000	2248	0.0343022812
470.000000	2108	0.0321660182
471.000000	2005	0.0305943389
472.000000	2268	0.0346074617
473.000000	2218	0.0338445106
474.000000	1969	0.0300450141
475.000000	2197	0.0335240711
476.000000	1897	0.0289463645
477.000000	2288	0.0349126421
478.000000	2360	0.0360112917
479.000000	2287	0.0348973831
480.000000	2126	0.0324406806
481.000000	2094	0.0319523919
482.000000	2221	0.0338902876
483.000000	2161	0.0329747463
484.000000	2049	0.0312657359
485.000000	2103	0.0320897230
486.000000	2184	0.0333257038
487.000000	2151	0.0328221561
488.000000	2193	0.0334630350
489.000000	1971	0.0300755322
490.000000	2301	0.0351110094
491.000000	2118	0.0323186084
492.000000	2030	0.0309758145
493.000000	2060	0.0314335851
494.000000	2072	0.0316166934
495.000000	2155	0.0328831922
496.000000	2147	0.0327611200
497.000000	2166	0.0330510414
498.000000	1986	0.0303044175
499.000000	2455	0.0374608988
500.000000	2111	0.0322117952
501.000000	1978	0.0301823453
502.000000	2218	0.0338445106
503.000000	2149	0.0327916381
504.000000	2219	0.0338597696
505.000000	2168	0.0330815595
506.000000	2052	0.0313115129
507.000000	1840	0.0280766003
508.000000	1960	0.0299076829
509.000000	2341	0.0357213703
510.000000	2003	0.0305638209
511.000000	2311	0.0352635996
512.000000	2203	0.0336156252
513.000000	2298	0.0350652323
514.000000	2096	0.0319829099
515.000000	1877	0.0286411841
516.000000	2206	0.0336614023
517.000000	2449	0.0373693446
518.000000	1871	0.0285496300
519.000000	2128	0.0324711986
520.000000	2307	0.0352025635
521.000000	2213	0.0337682155
522.000000	2196	0.0335088121
523.000000	2082	0.0317692836
524.000000	2235	0.0341039139
525.000000	2095	0.0319676509
526.000000	2119	0.0323338674
527.000000	2062	0.0314641032
528.000000	2027	0.0309300374
529.000000	2094	0.0319523919
530.000000	2072	0.0316166934
531.000000	2124	0.0324101625
532.000000	2212	0.0337529564
533.000000	1991	0.0303807126
534.000000	2292	0.0349736782
535.000000	2320	0.0354009308
536.000000	2186	0.0333562219
537.000000	2077	0.0316929885
538.000000	2184	0.0333257038
539.000000	1980	0.0302128634
540.000000	2282	0.0348210880
541.000000	1984	0.0302738994
542.000000	1956	0.0298466468
543.000000	2280	0.0347905699
544.000000	2014	0.0307316701
545.000000	2220	0.0338750286
546.000000	2118	0.0323186084
547.000000	2318	0.0353704128
548.000000	2246	0.0342717632
549.000000	2142	0.0326848249
550.000000	2026	0.0309147784
551.000000	2069	0.0315709163
552.000000	1994	0.0304264897
553.000000	2160	0.0329594873
554.000000	2038	0.0310978866
555.000000	2074	0.0316472114
556.000000	2283	0.0348363470
557.000000	2372	0.0361943999
558.000000	2071	0.0316014343
559.000000	2014	0.0307316701
560.000000	2016	0.0307621881
561.000000	1982	0.0302433814
562.000000	2325	0.0354772259
563.000000	2092	0.0319218738
