# wavelength_nm	counts_u16	rel_intensity
1.000000	1071	0.0163424125
2.000000	1087	0.0165865568
3.000000	1230	0.0187685969
4.000000	1207	0.0184176394
5.000000	1074	0.0163881895
6.000000	1363	0.0207980468
7.000000	1270	0.0193789578
8.000000	1279	0.0195162890
9.000000	1374	0.0209658961
10.000000	1356	0.0206912337
11.000000	1592	0.0242923629
12.000000	1366	0.0208438239
13.000000	1699	0.0259250782
14.000000	1190	0.0181582361
15.000000	1297	0.0197909514
16.000000	1225	0.0186923018
17.000000	1409	0.0214999619
18.000000	1145	0.0174715801
19.000000	1233	0.0188143740
20.000000	1200	0.0183108263
21.000000	1133	0.0172884718
22.000000	1330	0.0202944991
23.000000	1296	0.0197756924
24.000000	1372	0.0209353780
25.000000	1266	0.0193179217
26.000000	1487	0.0226901656
27.000000	1099	0.0167696651
28.000000	1335	0.0203707942
29.000000	1369	0.0208896010
30.000000	1278	0.0195010300
31.000000	1077	0.0164339666
32.000000	1265	0.0193026627
33.000000	1540	0.0234988937
34.000000	1154	0.0176089113
35.000000	1228	0.0187380789
36.000000	1266	0.0193179217
37.000000	1163	0.0177462425
38.000000	1306	0.0199282826
39.000000	1384	0.0211184863
40.000000	1382	0.0210879683
41.000000	1215	0.0185397116
42.000000	1429	0.0218051423
43.000000	1257	0.0191805905
44.000000	1203	0.0183566033
45.000000	1296	0.0197756924
46.000000	1217	0.0185702296
47.000000	1369	0.0208896010
48.000000	1354	0.0206607156
49.000000	1400	0.0213626307
50.000000	1339	0.0204318303
51.000000	1185	0.0180819409
52.000000	1067	0.0162813764
53.000000	928	0.0141603723
54.000000	1274	0.0194399939
55.000000	1282	0.0195620661
56.000000	1392	0.0212405585
57.000000	1187	0.0181124590
58.000000	1184	0.0180666819
59.000000	1263	0.0192721447
60.000000	1314	0.0200503548
61.000000	1144	0.0174563210
62.000000	1295	0.0197604334
63.000000	1206	0.0184023804
64.000000	960	0.0146486610
65.000000	1350	0.0205996796
66.000000	1140	0.0173952850
67.000000	1316	0.0200808728
68.000000	1173	0.0178988327
69.000000	1277	0.0194857710
70.000000	1079	0.0164644846
71.000000	1027	0.0156710155
72.000000	1407	0.0214694438
73.000000	1162	0.0177309834
74.000000	1526	0.0232852674
75.000000	1103	0.0168307012
76.000000	1404	0.0214236667
77.000000	1086	0.0165712978
78.000000	1311	0.0200045777
79.000000	1213	0.0185091936
80.000000	1215	0.0185397116
81.000000	1314	0.0200503548
82.000000	877	0.0133821622
83.000000	1212	0.0184939345
84.000000	1213	0.0185091936
85.000000	1329	0.0202792401
86.000000	1298	0.0198062104
87.000000	1410	0.0215152209
88.000000	1341	0.0204623484
89.000000	1201	0.0183260853
90.000000	1247	0.0190280003
91.000000	1359	0.0207370108
92.000000	1465	0.0223544671
93.000000	1258	0.0191958495
94.000000	1505	0.0229648280
95.000000	1237	0.0188754101
96.000000	959	0.0146334020
97.000000	1344	0.0205081254
98.000000	1188	0.0181277180
99.000000	1346	0.0205386435
100.000000	1248	0.0190432593
101.000000	1484	0.0226443885
102.000000	1193	0.0182040131
103.000000	1362	0.0207827878
104.000000	1455	0.0222018769
105.000000	1382	0.0210879683
106.000000	1310	0.0199893187
107.000000	1248	0.0190432593
108.000000	1410	0.0215152209
109.000000	1187	0.0181124590
110.000000	1234	0.0188296330
111.000000	1254	0.0191348135
112.000000	1425	0.0217441062
113.000000	1112	0.0169680323
114.000000	1315	0.0200656138
115.000000	1507	0.0229953460
116.000000	1481	0.0225986114
117.000000	1413	0.0215609979
118.000000	1155	0.0176241703
119.000000	1240	0.0189211872
120.000000	1157	0.0176546883
121.000000	1406	0.0214541848
122.000000	1189	0.0181429770
123.000000	1206	0.0184023804
124.000000	1535	0.0234225986
125.000000	1204	0.0183718624
126.000000	1372	0.0209353780
127.000000	1205	0.0183871214
128.000000	1361	0.0207675288
129.000000	1332	0.0203250172
130.000000	1254	0.0191348135
131.000000	1111	0.0169527733
132.000000	1042	0.0158999008
133.000000	1327	0.0202487221
134.000000	1151	0.0175631342
135.000000	1645	0.0251010910
136.000000	1308	0.0199588006
137.000000	1118	0.0170595865
138.000000	1291	0.0196993973
139.000000	1370	0.0209048600
140.000000	1305	0.0199130236
141.000000	1381	0.0210727092
142.000000	1306	0.0199282826
143.000000	1326	0.0202334630
144.000000	1337	0.0204013123
145.000000	1243	0.0189669642
146.000000	1149	0.0175326162
147.000000	1363	0.0207980468
148.000000	1124	0.0171511406
149.000000	1438	0.0219424735
150.000000	1196	0.0182497902
151.000000	1573	0.0240024414
152.000000	1486	0.0226749065
153.000000	1408	0.0214847028
154.000000	1142	0.0174258030
155.000000	991	0.0151216907
156.000000	1225	0.0186923018
157.000000	1226	0.0187075608
158.000000	1608	0.0245365072
159.000000	1361	0.0207675288
160.000000	1296	0.0197756924
161.000000	1370	0.0209048600
162.000000	1334	0.0203555352
163.000000	1442	0.0220035096
164.000000	1217	0.0185702296
165.000000	1372	0.0209353780
166.000000	1348	0.0205691615
167.000000	1555	0.0237277790
168.000000	1185	0.0180819409
169.000000	988	0.0150759136
170.000000	1317	0.0200961318
171.000000	1272	0.0194094759
172.000000	1287	0.0196383612
173.000000	1010	0.0154116121
174.000000	1396	0.0213015946
175.000000	1106	0.0168764782
176.000000	1430	0.0218204013
177.000000	1313	0.0200350958
178.000000	1272	0.0194094759
179.000000	1609	0.0245517662
180.000000	1392	0.0212405585
181.000000	1262	0.0192568856
182.000000	1183	0.0180514229
183.000000	1302	0.0198672465
184.000000	1220	0.0186160067
185.000000	1346	0.0205386435
186.000000	1246	0.0190127413
187.000000	1574	0.0240177005
188.000000	1504	0.0229495689
189.000000	1478	0.0225528344
190.000000	1381	0.0210727092
191.000000	1187	0.0181124590
192.000000	1455	0.0222018769
193.000000	1375	0.0209811551
194.000000	1148	0.0175173571
195.000000	1374	0.0209658961
196.000000	1343	0.0204928664
197.000000	1329	0.0202792401
198.000000	1385	0.0211337453
199.000000	1483	0.0226291295
200.000000	1239	0.0189059281
201.000000	1252	0.0191042954
202.000000	1173	0.0178988327
203.000000	1224	0.0186770428
204.000000	1335	0.0203707942
205.000000	1218	0.0185854887
206.000000	1222	0.0186465248
207.000000	1217	0.0185702296
208.000000	1433	0.0218661784
209.000000	1269	0.0193636988
210.000000	1313	0.0200350958
211.000000	1428	0.0217898833
212.000000	1359	0.0207370108
213.000000	1379	0.0210421912
214.000000	1280	0.0195315480
215.000000	1417	0.0216220340
216.000000	1364	0.0208133059
217.000000	1257	0.0191805905
218.000000	1245	0.0189974823
219.000000	1379	0.0210421912
220.000000	1337	0.0204013123
221.000000	1454	0.0221866178
222.000000	1329	0.0202792401
223.000000	999	0.0152437629
224.000000	1266	0.0193179217
225.000000	1237	0.0188754101
226.000000	1364	0.0208133059
227.000000	1211	0.0184786755
228.000000	1191	0.0181734951
229.000000	1296	0.0197756924
230.000000	1516	0.0231326772
231.000000	1470	0.0224307622
232.000000	1155	0.0176241703
233.000000	1382	0.0210879683
234.000000	1226	0.0187075608
235.000000	1427	0.0217746242
236.000000	1182	0.0180361639
237.000000	1381	0.0210727092
238.000000	1368	0.0208743420
239.000000	1261	0.0192416266
240.000000	1488	0.0227054246
241.000000	1205	0.0183871214
242.000000	1237	0.0188754101
243.000000	1368	0.0208743420
244.000000	1510	0.0230411231
245.000000	1277	0.0194857710
246.000000	1155	0.0176241703
247.000000	1268	0.0193484398
248.000000	1184	0.0180666819
249.000000	1241	0.0189364462
250.000000	1103	0.0168307012
251.000000	1430	0.0218204013
252.000000	1301	0.0198519875
253.000000	1496	0.0228274968
254.000000	1451	0.0221408408
255.000000	986	0.0150453956
256.000000	1487	0.0226901656
257.000000	1126	0.0171816587
258.000000	1301	0.0198519875
259.000000	1307	0.0199435416
260.000000	1324	0.0202029450
261.000000	1305	0.0199130236
262.000000	1154	0.0176089113
263.000000	1243	0.0189669642
264.000000	1304	0.0198977646
265.000000	1636	0.0249637598
266.000000	1366	0.0208438239
267.000000	1382	0.0210879683
268.000000	1202	0.0183413443
269.000000	1257	0.0191805905
270.000000	1257	0.0191805905
271.000000	1349	0.0205844205
272.000000	1308	0.0199588006
273.000000	1255	0.0191500725
274.000000	1347	0.0205539025
275.000000	1054	0.0160830091
276.000000	1282	0.0195620661
277.000000	1218	0.0185854887
278.000000	1261	0.0192416266
279.000000	1135	0.0173189899
280.000000	1114	0.0169985504
281.000000	1445	0.0220492866
282.000000	1103	0.0168307012
283.000000	1487	0.0226901656
284.000000	1385	0.0211337453
285.000000	1449	0.0221103227
286.000000	1288	0.0196536202
287.000000	1554	0.0237125200
288.000000	1410	0.0215152209
289.000000	1532	0.0233768215
290.000000	1526	0.0232852674
291.000000	1236	0.0188601511
292.000000	1405	0.0214389258
293.000000	1566	0.0238956283
294.000000	1382	0.0210879683
295.000000	1403	0.0214084077
296.000000	1354	0.0206607156
297.000000	1217	0.0185702296
298.000000	1456	0.0222171359
299.000000	1516	0.0231326772
300.000000	1397	0.0213168536
301.000000	1169	0.0178377966
302.000000	1207	0.0184176394
303.000000	1226	0.0187075608
304.000000	1276	0.0194705119
305.000000	1448	0.0220950637
306.000000	1475	0.0225070573
307.000000	1353	0.0206454566
308.000000	1396	0.0213015946
309.000000	1195	0.0182345312
310.000000	1400	0.0213626307
311.000000	1243	0.0189669642
312.000000	1428	0.0217898833
313.000000	1380	0.0210574502
314.000000	1232	0.0187991150
315.000000	1468	0.0224002441
316.000000	1553	0.0236972610
317.000000	1424	0.0217288472
318.000000	1228	0.0187380789
319.000000	1299	0.0198214694
320.000000	1113	0.0169832914
321.000000	1321	0.0201571679
322.000000	1308	0.0199588006
323.000000	1317	0.0200961318
324.000000	1449	0.0221103227
325.000000	1214	0.0185244526
326.000000	1513	0.0230869001
327.000000	1427	0.0217746242
328.000000	1376	0.0209964141
329.000000	1261	0.0192416266
330.000000	1250	0.0190737774
331.000000	1421	0.0216830701
332.000000	1192	0.0181887541
333.000000	1470	0.0224307622
334.000000	1349	0.0205844205
335.000000	1494	0.0227969787
336.000000	1305	0.0199130236
337.000000	1396	0.0213015946
338.000000	1483	0.0226291295
339.000000	1483	0.0226291295
340.000000	1598	0.0243839170
341.000000	1311	0.0200045777
342.000000	1393	0.0212558175
343.000000	1407	0.0214694438
344.000000	1423	0.0217135882
345.000000	1342	0.0204776074
346.000000	1400	0.0213626307
347.000000	1265	0.0193026627
348.000000	1346	0.0205386435
349.000000	1505	0.0229648280
350.000000	1424	0.0217288472
351.000000	1291	0.0196993973
352.000000	1218	0.0185854887
353.000000	1472	0.0224612802
354.000000	1474	0.0224917983
355.000000	1283	0.0195773251
356.000000	1483	0.0226291295
357.000000	1411	0.0215304799
358.000000	1556	0.0237430381
359.000000	1288	0.0196536202
360.000000	1352	0.0206301976
361.000000	1387	0.0211642634
362.000000	1283	0.0195773251
363.000000	1383	0.0211032273
364.000000	1305	0.0199130236
365.000000	1606	0.0245059892
366.000000	1413	0.0215609979
367.000000	1508	0.0230106050
368.000000	1165	0.0177767605
369.000000	1376	0.0209964141
370.000000	1345	0.0205233845
371.000000	1311	0.0200045777
372.000000	1339	0.0204318303
373.000000	1218	0.0185854887
374.000000	1515	0.0231174182
375.000000	1446	0.0220645457
376.000000	1810	0.0276188296
377.000000	1341	0.0204623484
378.000000	1351	0.0206149386
379.000000	1236	0.0188601511
380.000000	1254	0.0191348135
381.000000	1329	0.0202792401
382.000000	1299	0.0198214694
383.000000	1394	0.0212710765
384.000000	1464	0.0223392081
385.000000	1644	0.0250858320
386.000000	1523	0.0232394903
387.000000	1507	0.0229953460
388.000000	1622	0.0247501335
389.000000	1454	0.0221866178
390.000000	1379	0.0210421912
391.000000	1361	0.0207675288
392.000000	1491	0.0227512016
393.000000	1275	0.0194552529
394.000000	1465	0.0223544671
395.000000	1200	0.0183108263
396.000000	1474	0.0224917983
397.000000	1361	0.0207675288
398.000000	1292	0.0197146563
399.000000	1469	0.0224155032
400.000000	1400	0.0213626307
401.000000	1598	0.0243839170
402.000000	1418	0.0216372930
403.000000	1449	0.0221103227
404.000000	1204	0.0183718624
405.000000	1292	0.0197146563
406.000000	1345	0.0205233845
407.000000	1331	0.0203097581
408.000000	1438	0.0219424735
409.000000	1225	0.0186923018
410.000000	1368	0.0208743420
411.000000	1390	0.0212100404
412.000000	1518	0.0231631952
413.000000	1484	0.0226443885
414.000000	1222	0.0186465248
415.000000	1315	0.0200656138
416.000000	1255	0.0191500725
417.000000	1430	0.0218204013
418.000000	993	0.0151522087
419.000000	1502	0.0229190509
420.000000	1241	0.0189364462
421.000000	1537	0.0234531167
422.000000	1451	0.0221408408
423.000000	1368	0.0208743420
424.000000	1418	0.0216372930
425.000000	1374	0.0209658961
426.000000	1496	0.0228274968
427.000000	1330	0.0202944991
428.000000	1340	0.0204470893
429.000000	1297	0.0197909514
430.000000	1386	0.0211490043
431.000000	1566	0.0238956283
432.000000	1385	0.0211337453
433.000000	1346	0.0205386435
434.000000	1334	0.0203555352
435.000000	1406	0.0214541848
436.000000	1289	0.0196688792
437.000000	1393	0.0212558175
438.000000	1293	0.0197299153
439.000000	1096	0.0167238880
440.000000	1554	0.0237125200
441.000000	1363	0.0207980468
442.000000	1724	0.0263065537
443.000000	1457	0.0222323949
444.000000	1475	0.0225070573
445.000000	1212	0.0184939345
446.000000	1493	0.0227817197
447.000000	1399	0.0213473716
448.000000	1434	0.0218814374
449.000000	1495	0.0228122377
450.000000	1268	0.0193484398
451.000000	1727	0.0263523308
452.000000	1388	0.0211795224
453.000000	1640	0.0250247959
454.000000	1396	0.0213015946
455.000000	1219	0.0186007477
456.000000	1591	0.0242771038
457.000000	1458	0.0222476539
458.000000	1436	0.0219119554
459.000000	1313	0.0200350958
460.000000	1537	0.0234531167
461.000000	1530	0.0233463035
462.000000	1521	0.0232089723
463.000000	1250	0.0190737774
464.000000	1245	0.0189974823
465.000000	1329	0.0202792401
466.000000	1416	0.0216067750
467.000000	1305	0.0199130236
468.000000	1276	0.0194705119
469.000000	1536	0.0234378576
470.000000	1391	0.0212252995
471.000000	1574	0.0240177005
472.000000	1374	0.0209658961
473.000000	1299	0.0198214694
474.000000	1264	0.0192874037
475.000000	1369	0.0208896010
476.000000	1589	0.0242465858
477.000000	1393	0.0212558175
478.000000	1373	0.0209506371
479.000000	1317	0.0200961318
480.000000	1520	0.0231937133
481.000000	1418	0.0216372930
482.000000	1324	0.0202029450
483.000000	1312	0.0200198367
484.000000	1359	0.0207370108
485.000000	1666	0.0254215305
486.000000	1408	0.0214847028
487.000000	1394	0.0212710765
488.000000	1398	0.0213321126
489.000000	1293	0.0197299153
490.000000	1504	0.0229495689
491.000000	1122	0.0171206226
492.000000	1465	0.0223544671
493.000000	1164	0.0177615015
494.000000	1301	0.0198519875
495.000000	1167	0.0178072786
496.000000	1346	0.0205386435
497.000000	1337	0.0204013123
498.000000	1306	0.0199282826
499.000000	1544	0.0235599298
500.000000	1397	0.0213168536
501.000000	1489	0.0227206836
502.000000	1188	0.0181277180
503.000000	1505	0.0229648280
504.000000	1293	0.0197299153
505.000000	1498	0.0228580148
506.000000	1332	0.0203250172
507.000000	1458	0.0222476539
508.000000	1516	0.0231326772
509.000000	1230	0.0187685969
510.000000	1398	0.0213321126
511.000000	1406	0.0214541848
512.000000	1504	0.0229495689
513.000000	1461	0.0222934310
514.000000	1384	0.0211184863
515.000000	1593	0.0243076219
516.000000	1302	0.0198672465
517.000000	1472	0.0224612802
518.000000	1270	0.0193789578
519.000000	1457	0.0222323949
520.000000	1452	0.0221560998
521.000000	1305	0.0199130236
522.000000	1505	0.0229648280
