# wavelength_nm	counts_u16	rel_intensity
1.000000	2334	0.0356145571
2.000000	2008	0.0306401160
3.000000	2317	0.0353551537
4.000000	2309	0.0352330816
5.000000	2490	0.0379949645
6.000000	2377	0.0362706950
7.000000	2279	0.0347753109
8.000000	2406	0.0367132067
9.000000	2250	0.0343327993
10.000000	2194	0.0334782940
11.000000	2186	0.0333562219
12.000000	2672	0.0407721065
13.000000	2355	0.0359349966
14.000000	2294	0.0350041962
15.000000	2441	0.0372472724
16.000000	2426	0.0370183871
17.000000	2253	0.0343785763
18.000000	2155	0.0328831922
19.000000	2514	0.0383611810
20.000000	2253	0.0343785763
21.000000	2549	0.0388952468
22.000000	2548	0.0388799878
23.000000	2444	0.0372930495
24.000000	2128	0.0324711986
25.000000	2328	0.0355230030
26.000000	2237	0.0341344320
27.000000	2353	0.0359044785
28.000000	2378	0.0362859541
29.000000	2350	0.0358587015
30.000000	2371	0.0361791409
31.000000	2265	0.0345616846
32.000000	2444	0.0372930495
33.000000	2370	0.0361638819
34.000000	2191	0.0334325170
35.000000	2297	0.0350499733
36.000000	2367	0.0361181048
37.000000	2433	0.0371252003
38.000000	2232	0.0340581369
39.000000	2432	0.0371099413
40.000000	2231	0.0340428779
41.000000	2428	0.0370489052
42.000000	2549	0.0388952468
43.000000	2330	0.0355535210
44.000000	2422	0.0369573510
45.000000	2300	0.0350957504
46.000000	2296	0.0350347143
47.000000	2246	0.0342717632
48.000000	2596	0.0396124208
49.000000	2341	0.0357213703
50.000000	2357	0.0359655146
51.000000	2137	0.0326085298
52.000000	2312	0.0352788586
53.000000	2229	0.0340123598
54.000000	2309	0.0352330816
55.000000	2397	0.0365758755
56.000000	2166	0.0330510414
57.000000	2483	0.0378881514
58.000000	2319	0.0353856718
59.000000	2368	0.0361333639
60.000000	2310	0.0352483406
61.000000	2254	0.0343938354
62.000000	2279	0.0347753109
63.000000	2280	0.0347905699
64.000000	2105	0.0321202411
65.000000	2191	0.0334325170
66.000000	2419	0.0369115740
67.000000	2156	0.0328984512
68.000000	2310	0.0352483406
69.000000	2603	0.0397192340
70.000000	2182	0.0332951858
