# wavelength_nm	counts_u16	rel_intensity
1.000000	1267	0.0193331807
2.000000	1478	0.0225528344
3.000000	1354	0.0206607156
4.000000	1430	0.0218204013
5.000000	1325	0.0202182040
6.000000	1380	0.0210574502
7.000000	1113	0.0169832914
8.000000	1258	0.0191958495
9.000000	1547	0.0236057069
10.000000	1319	0.0201266499
11.000000	1538	0.0234683757
12.000000	1402	0.0213931487
13.000000	1466	0.0223697261
14.000000	1428	0.0217898833
15.000000	1225	0.0186923018
16.000000	1325	0.0202182040
17.000000	1209	0.0184481575
18.000000	1201	0.0183260853
19.000000	1482	0.0226138705
20.000000	1156	0.0176394293
21.000000	1378	0.0210269322
22.000000	1289	0.0196688792
23.000000	1432	0.0218509194
24.000000	1098	0.0167544060
25.000000	1233	0.0188143740
26.000000	1090	0.0166323339
27.000000	1106	0.0168764782
28.000000	1597	0.0243686580
29.000000	1479	0.0225680934
30.000000	1657	0.0252841993
31.000000	1331	0.0203097581
32.000000	1136	0.0173342489
33.000000	1556	0.0237430381
34.000000	1287	0.0196383612
35.000000	1513	0.0230869001
36.000000	1390	0.0212100404
37.000000	1176	0.0179446098
38.000000	1285	0.0196078431
39.000000	1391	0.0212252995
40.000000	1412	0.0215457389
41.000000	1408	0.0214847028
42.000000	1216	0.0185549706
43.000000	1615	0.0246433204
44.000000	1454	0.0221866178
45.000000	1386	0.0211490043
46.000000	1078	0.0164492256
47.000000	1402	0.0213931487
48.000000	1433	0.0218661784
49.000000	1321	0.0201571679
50.000000	1356	0.0206912337
51.000000	1291	0.0196993973
52.000000	1456	0.0222171359
53.000000	1467	0.0223849851
54.000000	1227	0.0187228199
55.000000	1379	0.0210421912
56.000000	1361	0.0207675288
57.000000	1303	0.0198825055
58.000000	1357	0.0207064927
59.000000	1427	0.0217746242
60.000000	1304	0.0198977646
61.000000	1331	0.0203097581
62.000000	1447	0.0220798047
63.000000	1500	0.0228885328
64.000000	1506	0.0229800870
65.000000	1498	0.0228580148
66.000000	1313	0.0200350958
67.000000	1604	0.0244754711
68.000000	1412	0.0215457389
69.000000	1341	0.0204623484
70.000000	1639	0.0250095369
71.000000	1207	0.0184176394
72.000000	1522	0.0232242313
73.000000	1425	0.0217441062
74.000000	1407	0.0214694438
75.000000	1496	0.0228274968
76.000000	1177	0.0179598688
77.000000	1584	0.0241702907
78.000000	1231	0.0187838560
79.000000	1426	0.0217593652
80.000000	1435	0.0218966964
81.000000	1437	0.0219272145
82.000000	1151	0.0175631342
83.000000	1542	0.0235294118
84.000000	1462	0.0223086900
85.000000	1428	0.0217898833
86.000000	1349	0.0205844205
87.000000	1434	0.0218814374
88.000000	1343	0.0204928664
89.000000	1296	0.0197756924
90.000000	1384	0.0211184863
91.000000	1424	0.0217288472
92.000000	1385	0.0211337453
93.000000	1463	0.0223239490
94.000000	1446	0.0220645457
95.000000	1478	0.0225528344
96.000000	1475	0.0225070573
97.000000	1205	0.0183871214
98.000000	1335	0.0203707942
99.000000	1409	0.0214999619
100.000000	1492	0.0227664607
101.000000	1215	0.0185397116
102.000000	1409	0.0214999619
103.000000	1678	0.0256046387
104.000000	1408	0.0214847028
105.000000	1425	0.0217441062
106.000000	1446	0.0220645457
107.000000	1129	0.0172274357
108.000000	1323	0.0201876860
109.000000	1141	0.0174105440
110.000000	1469	0.0224155032
111.000000	1174	0.0179140917
112.000000	1397	0.0213168536
113.000000	1492	0.0227664607
114.000000	1534	0.0234073396
115.000000	1285	0.0196078431
116.000000	1258	0.0191958495
117.000000	1323	0.0201876860
118.000000	1217	0.0185702296
119.000000	1425	0.0217441062
120.000000	1146	0.0174868391
121.000000	1288	0.0196536202
122.000000	1428	0.0217898833
123.000000	1466	0.0223697261
124.000000	1275	0.0194552529
125.000000	1242	0.0189517052
126.000000	1507	0.0229953460
127.000000	1213	0.0185091936
128.000000	1608	0.0245365072
129.000000	1467	0.0223849851
130.000000	1329	0.0202792401
131.000000	1403	0.0214084077
132.000000	1410	0.0215152209
133.000000	1160	0.0177004654
134.000000	1188	0.0181277180
135.000000	1490	0.0227359426
136.000000	1191	0.0181734951
137.000000	1615	0.0246433204
138.000000	1221	0.0186312657
139.000000	1532	0.0233768215
140.000000	1588	0.0242313268
141.000000	1305	0.0199130236
142.000000	1671	0.0254978256
143.000000	1398	0.0213321126
144.000000	1266	0.0193179217
145.000000	1375	0.0209811551
146.000000	1414	0.0215762570
147.000000	1232	0.0187991150
148.000000	1136	0.0173342489
149.000000	1240	0.0189211872
150.000000	1193	0.0182040131
151.000000	1249	0.0190585183
152.000000	1469	0.0224155032
153.000000	1516	0.0231326772
154.000000	1325	0.0202182040
155.000000	1485	0.0226596475
156.000000	1365	0.0208285649
157.000000	1512	0.0230716411
158.000000	1531	0.0233615625
159.000000	1634	0.0249332418
160.000000	1323	0.0201876860
161.000000	1258	0.0191958495
162.000000	1734	0.0264591440
163.000000	1261	0.0192416266
164.000000	1692	0.0258182650
165.000000	1400	0.0213626307
166.000000	1360	0.0207522698
167.000000	1223	0.0186617838
168.000000	1452	0.0221560998
169.000000	1425	0.0217441062
170.000000	1308	0.0199588006
171.000000	1347	0.0205539025
172.000000	1340	0.0204470893
173.000000	1410	0.0215152209
174.000000	1315	0.0200656138
175.000000	1504	0.0229495689
176.000000	1315	0.0200656138
177.000000	1481	0.0225986114
178.000000	1382	0.0210879683
179.000000	1511	0.0230563821
180.000000	1334	0.0203555352
181.000000	1237	0.0188754101
182.000000	1364	0.0208133059
183.000000	1422	0.0216983291
184.000000	1352	0.0206301976
185.000000	1262	0.0192568856
186.000000	1292	0.0197146563
187.000000	1265	0.0193026627
188.000000	1319	0.0201266499
189.000000	1318	0.0201113909
190.000000	1389	0.0211947814
191.000000	1267	0.0193331807
192.000000	1175	0.0179293507
193.000000	1434	0.0218814374
194.000000	1699	0.0259250782
195.000000	1388	0.0211795224
196.000000	1343	0.0204928664
197.000000	1407	0.0214694438
198.000000	1387	0.0211642634
199.000000	1135	0.0173189899
200.000000	1311	0.0200045777
201.000000	1198	0.0182803082
202.000000	1730	0.0263981079
203.000000	1236	0.0188601511
204.000000	1407	0.0214694438
205.000000	1315	0.0200656138
206.000000	1402	0.0213931487
207.000000	1521	0.0232089723
208.000000	1431	0.0218356603
209.000000	1505	0.0229648280
210.000000	1435	0.0218966964
211.000000	1233	0.0188143740
212.000000	1315	0.0200656138
213.000000	1401	0.0213778897
214.000000	1335	0.0203707942
215.000000	1595	0.0243381399
216.000000	1399	0.0213473716
217.000000	1507	0.0229953460
218.000000	1311	0.0200045777
219.000000	1410	0.0215152209
220.000000	1363	0.0207980468
221.000000	1436	0.0219119554
222.000000	1438	0.0219424735
223.000000	1440	0.0219729915
224.000000	1342	0.0204776074
225.000000	1490	0.0227359426
226.000000	1345	0.0205233845
227.000000	1100	0.0167849241
228.000000	1233	0.0188143740
229.000000	1351	0.0206149386
230.000000	1375	0.0209811551
231.000000	1400	0.0213626307
232.000000	1339	0.0204318303
233.000000	1282	0.0195620661
234.000000	1409	0.0214999619
235.000000	1476	0.0225223163
236.000000	1281	0.0195468070
237.000000	1266	0.0193179217
238.000000	1381	0.0210727092
239.000000	1341	0.0204623484
240.000000	1638	0.0249942779
241.000000	1320	0.0201419089
242.000000	1501	0.0229037919
243.000000	1344	0.0205081254
244.000000	1342	0.0204776074
245.000000	1536	0.0234378576
246.000000	1193	0.0182040131
247.000000	1171	0.0178683146
248.000000	1206	0.0184023804
249.000000	1393	0.0212558175
250.000000	1385	0.0211337453
251.000000	1419	0.0216525521
252.000000	1321	0.0201571679
253.000000	1263	0.0192721447
254.000000	1672	0.0255130846
255.000000	1235	0.0188448920
256.000000	1473	0.0224765393
257.000000	1377	0.0210116732
258.000000	1228	0.0187380789
259.000000	1258	0.0191958495
260.000000	1443	0.0220187686
261.000000	1265	0.0193026627
262.000000	1349	0.0205844205
263.000000	1405	0.0214389258
264.000000	1335	0.0203707942
265.000000	1432	0.0218509194
266.000000	1294	0.0197451743
267.000000	1229	0.0187533379
268.000000	1254	0.0191348135
269.000000	1231	0.0187838560
270.000000	1454	0.0221866178
271.000000	1328	0.0202639811
272.000000	1407	0.0214694438
273.000000	1303	0.0198825055
274.000000	1300	0.0198367285
275.000000	1362	0.0207827878
276.000000	1318	0.0201113909
277.000000	1292	0.0197146563
278.000000	1521	0.0232089723
279.000000	1492	0.0227664607
280.000000	1399	0.0213473716
281.000000	1359	0.0207370108
282.000000	1420	0.0216678111
283.000000	1237	0.0188754101
284.000000	1221	0.0186312657
285.000000	1537	0.0234531167
286.000000	1376	0.0209964141
287.000000	1202	0.0183413443
288.000000	1053	0.0160677501
289.000000	1432	0.0218509194
290.000000	1428	0.0217898833
291.000000	1208	0.0184328985
292.000000	1398	0.0213321126
293.000000	1342	0.0204776074
294.000000	1606	0.0245059892
295.000000	1509	0.0230258640
296.000000	1356	0.0206912337
297.000000	1374	0.0209658961
298.000000	1537	0.0234531167
299.000000	1369	0.0208896010
300.000000	1248	0.0190432593
301.000000	1420	0.0216678111
302.000000	1217	0.0185702296
303.000000	1446	0.0220645457
304.000000	1448	0.0220950637
305.000000	1498	0.0228580148
306.000000	1574	0.0240177005
307.000000	1456	0.0222171359
308.000000	1331	0.0203097581
309.000000	1287	0.0196383612
310.000000	1179	0.0179903868
311.000000	1396	0.0213015946
312.000000	1467	0.0223849851
313.000000	1555	0.0237277790
314.000000	1358	0.0207217517
315.000000	1521	0.0232089723
316.000000	1514	0.0231021592
317.000000	1633	0.0249179828
318.000000	1335	0.0203707942
319.000000	1450	0.0221255818
320.000000	1474	0.0224917983
321.000000	1367	0.0208590829
322.000000	1404	0.0214236667
323.000000	1431	0.0218356603
324.000000	1334	0.0203555352
325.000000	1369	0.0208896010
326.000000	1505	0.0229648280
327.000000	1465	0.0223544671
328.000000	1414	0.0215762570
329.000000	1454	0.0221866178
330.000000	1763	0.0269016556
331.000000	1296	0.0197756924
332.000000	1358	0.0207217517
333.000000	1414	0.0215762570
334.000000	1634	0.0249332418
335.000000	1377	0.0210116732
336.000000	1508	0.0230106050
337.000000	1430	0.0218204013
338.000000	1415	0.0215915160
339.000000	1534	0.0234073396
340.000000	1373	0.0209506371
341.000000	1477	0.0225375753
342.000000	1171	0.0178683146
343.000000	1328	0.0202639811
344.000000	1381	0.0210727092
345.000000	1507	0.0229953460
346.000000	1525	0.0232700084
347.000000	1503	0.0229343099
348.000000	1713	0.0261387045
349.000000	1465	0.0223544671
350.000000	1617	0.0246738384
351.000000	1587	0.0242160678
352.000000	1528	0.0233157855
353.000000	1554	0.0237125200
354.000000	1629	0.0248569467
355.000000	1289	0.0196688792
356.000000	1342	0.0204776074
357.000000	1670	0.0254825666
358.000000	1332	0.0203250172
359.000000	1482	0.0226138705
360.000000	1342	0.0204776074
361.000000	1580	0.0241092546
362.000000	1753	0.0267490654
363.000000	1439	0.0219577325
364.000000	1504	0.0229495689
365.000000	1697	0.0258945602
366.000000	1522	0.0232242313
367.000000	1481	0.0225986114
368.000000	1663	0.0253757534
369.000000	1519	0.0231784543
370.000000	1292	0.0197146563
371.000000	1542	0.0235294118
372.000000	1454	0.0221866178
373.000000	1615	0.0246433204
374.000000	1494	0.0227969787
375.000000	1599	0.0243991760
376.000000	1512	0.0230716411
377.000000	1609	0.0245517662
378.000000	1613	0.0246128023
379.000000	1568	0.0239261463
380.000000	1529	0.0233310445
381.000000	1542	0.0235294118
382.000000	1451	0.0221408408
383.000000	1684	0.0256961929
384.000000	1607	0.0245212482
385.000000	1725	0.0263218128
386.000000	1583	0.0241550317
387.000000	1670	0.0254825666
388.000000	1562	0.0238345922
389.000000	1663	0.0253757534
390.000000	1591	0.0242771038
391.000000	1690	0.0257877470
392.000000	1638	0.0249942779
393.000000	1551	0.0236667430
394.000000	1566	0.0238956283
395.000000	1471	0.0224460212
396.000000	1404	0.0214236667
397.000000	1531	0.0233615625
398.000000	1722	0.0262760357
399.000000	1517	0.0231479362
400.000000	1443	0.0220187686
401.000000	1592	0.0242923629
402.000000	1558	0.0237735561
403.000000	1513	0.0230869001
404.000000	1690	0.0257877470
405.000000	1568	0.0239261463
406.000000	1431	0.0218356603
407.000000	1549	0.0236362249
408.000000	1566	0.0238956283
409.000000	1646	0.0251163500
410.000000	1477	0.0225375753
411.000000	1403	0.0214084077
412.000000	1457	0.0222323949
413.000000	1538	0.0234683757
414.000000	1619	0.0247043565
415.000000	1433	0.0218661784
416.000000	1532	0.0233768215
417.000000	1693	0.0258335241
418.000000	1410	0.0215152209
419.000000	1656	0.0252689403
420.000000	1532	0.0233768215
421.000000	1474	0.0224917983
422.000000	1530	0.0233463035
423.000000	1635	0.0249485008
424.000000	1627	0.0248264286
425.000000	1470	0.0224307622
426.000000	1550	0.0236514839
427.000000	1657	0.0252841993
428.000000	1694	0.0258487831
429.000000	1421	0.0216830701
430.000000	1486	0.0226749065
431.000000	1489	0.0227206836
432.000000	1468	0.0224002441
433.000000	1517	0.0231479362
434.000000	1514	0.0231021592
435.000000	1589	0.0242465858
436.000000	1517	0.0231479362
437.000000	1677	0.0255893797
438.000000	1609	0.0245517662
439.000000	1591	0.0242771038
440.000000	1577	0.0240634775
441.000000	1612	0.0245975433
442.000000	1298	0.0198062104
443.000000	1504	0.0229495689
444.000000	1626	0.0248111696
445.000000	1535	0.0234225986
446.000000	1403	0.0214084077
447.000000	1543	0.0235446708
448.000000	1276	0.0194705119
449.000000	1735	0.0264744030
450.000000	1765	0.0269321736
451.000000	1478	0.0225528344
452.000000	1572	0.0239871824
453.000000	1416	0.0216067750
454.000000	1653	0.0252231632
455.000000	1286	0.0196231022
456.000000	1636	0.0249637598
457.000000	1506	0.0229800870
458.000000	1631	0.0248874647
459.000000	1406	0.0214541848
460.000000	1667	0.0254367895
461.000000	1537	0.0234531167
462.000000	1616	0.0246585794
463.000000	1698	0.0259098192
464.000000	1421	0.0216830701
465.000000	1542	0.0235294118
466.000000	1658	0.0252994583
467.000000	1657	0.0252841993
468.000000	1570	0.0239566644
469.000000	1644	0.0250858320
470.000000	1686	0.0257267109
471.000000	1751	0.0267185473
472.000000	1590	0.0242618448
473.000000	1459	0.0222629129
474.000000	1432	0.0218509194
475.000000	1520	0.0231937133
476.000000	1545	0.0235751888
477.000000	1603	0.0244602121
478.000000	1711	0.0261081865
479.000000	1455	0.0222018769
480.000000	1551	0.0236667430
481.000000	1422	0.0216983291
482.000000	1446	0.0220645457
483.000000	1506	0.0229800870
484.000000	1825	0.0278477150
485.000000	1481	0.0225986114
486.000000	1488	0.0227054246
487.000000	1845	0.0281528954
488.000000	1493	0.0227817197
489.000000	1386	0.0211490043
490.000000	1604	0.0244754711
491.000000	1609	0.0245517662
492.000000	1431	0.0218356603
493.000000	1623	0.0247653925
494.000000	1524	0.0232547494
495.000000	1530	0.0233463035
496.000000	1623	0.0247653925
497.000000	1581	0.0241245136
498.000000	1445	0.0220492866
499.000000	1488	0.0227054246
500.000000	1456	0.0222171359
501.000000	1700	0.0259403372
502.000000	1407	0.0214694438
503.000000	1438	0.0219424735
504.000000	1476	0.0225223163
505.000000	1673	0.0255283436
506.000000	1623	0.0247653925
507.000000	1540	0.0234988937
508.000000	1448	0.0220950637
509.000000	1484	0.0226443885
510.000000	1649	0.0251621271
511.000000	1508	0.0230106050
512.000000	1662	0.0253604944
513.000000	1503	0.0229343099
514.000000	1524	0.0232547494
515.000000	1561	0.0238193332
