# wavelength_nm	counts_u16	rel_intensity
1.000000	1651	0.0251926452
2.000000	1684	0.0256961929
3.000000	1452	0.0221560998
4.000000	1758	0.0268253605
5.000000	1542	0.0235294118
6.000000	1473	0.0224765393
7.000000	1656	0.0252689403
8.000000	1794	0.0273746853
9.000000	1625	0.0247959106
10.000000	1613	0.0246128023
11.000000	1745	0.0266269932
12.000000	1676	0.0255741207
13.000000	1477	0.0225375753
14.000000	1544	0.0235599298
15.000000	1527	0.0233005264
16.000000	1507	0.0229953460
17.000000	1386	0.0211490043
18.000000	1421	0.0216830701
19.000000	1529	0.0233310445
20.000000	1509	0.0230258640
21.000000	1484	0.0226443885
22.000000	1297	0.0197909514
23.000000	1596	0.0243533989
24.000000	1425	0.0217441062
25.000000	1463	0.0223239490
26.000000	1346	0.0205386435
27.000000	1411	0.0215304799
28.000000	1571	0.0239719234
29.000000	1731	0.0264133669
30.000000	1697	0.0258945602
31.000000	1811	0.0276340887
32.000000	1377	0.0210116732
33.000000	1605	0.0244907301
34.000000	1261	0.0192416266
35.000000	1603	0.0244602121
36.000000	1593	0.0243076219
37.000000	1318	0.0201113909
38.000000	1365	0.0208285649
39.000000	1396	0.0213015946
40.000000	1298	0.0198062104
41.000000	1774	0.0270695048
42.000000	1269	0.0193636988
43.000000	1619	0.0247043565
44.000000	1631	0.0248874647
45.000000	1302	0.0198672465
46.000000	1574	0.0240177005
47.000000	1743	0.0265964752
48.000000	1693	0.0258335241
49.000000	1413	0.0215609979
50.000000	1570	0.0239566644
51.000000	1656	0.0252689403
52.000000	1441	0.0219882506
53.000000	1588	0.0242313268
54.000000	1622	0.0247501335
55.000000	1203	0.0183566033
56.000000	1440	0.0219729915
57.000000	1389	0.0211947814
58.000000	1458	0.0222476539
59.000000	1640	0.0250247959
60.000000	1293	0.0197299153
61.000000	1606	0.0245059892
62.000000	1451	0.0221408408
63.000000	1478	0.0225528344
64.000000	1365	0.0208285649
65.000000	1523	0.0232394903
66.000000	1488	0.0227054246
67.000000	1649	0.0251621271
68.000000	1501	0.0229037919
69.000000	1751	0.0267185473
70.000000	1383	0.0211032273
71.000000	1384	0.0211184863
72.000000	1534	0.0234073396
73.000000	1505	0.0229648280
74.000000	1616	0.0246585794
75.000000	1554	0.0237125200
76.000000	1400	0.0213626307
77.000000	1610	0.0245670253
78.000000	1665	0.0254062715
79.000000	1397	0.0213168536
80.000000	1528	0.0233157855
81.000000	1694	0.0258487831
82.000000	1357	0.0207064927
83.000000	1618	0.0246890974
84.000000	1419	0.0216525521
85.000000	1630	0.0248722057
86.000000	1678	0.0256046387
87.000000	1635	0.0249485008
88.000000	1760	0.0268558785
89.000000	1527	0.0233005264
90.000000	1456	0.0222171359
91.000000	1341	0.0204623484
92.000000	1457	0.0222323949
93.000000	1566	0.0238956283
94.000000	1563	0.0238498512
95.000000	1492	0.0227664607
96.000000	1583	0.0241550317
97.000000	1663	0.0253757534
98.000000	1682	0.0256656748
99.000000	1585	0.0241855497
100.000000	1548	0.0236209659
101.000000	1499	0.0228732738
102.000000	1444	0.0220340276
103.000000	1871	0.0285496300
104.000000	1862	0.0284122988
105.000000	1515	0.0231174182
106.000000	1633	0.0249179828
107.000000	1488	0.0227054246
108.000000	1578	0.0240787366
109.000000	1374	0.0209658961
110.000000	1810	0.0276188296
111.000000	1627	0.0248264286
112.000000	1659	0.0253147173
113.000000	1322	0.0201724269
114.000000	1626	0.0248111696
