# wavelength_nm	counts_u16	rel_intensity
1.000000	1186	0.0180972000
2.000000	1360	0.0207522698
3.000000	1304	0.0198977646
4.000000	1386	0.0211490043
5.000000	1458	0.0222476539
6.000000	1362	0.0207827878
7.000000	1367	0.0208590829
8.000000	1489	0.0227206836
9.000000	1431	0.0218356603
10.000000	1324	0.0202029450
11.000000	1620	0.0247196155
12.000000	1402	0.0213931487
13.000000	1447	0.0220798047
14.000000	1339	0.0204318303
15.000000	1267	0.0193331807
16.000000	1365	0.0208285649
17.000000	1223	0.0186617838
18.000000	1460	0.0222781720
19.000000	1183	0.0180514229
20.000000	1585	0.0241855497
21.000000	1232	0.0187991150
22.000000	1141	0.0174105440
23.000000	1480	0.0225833524
24.000000	1279	0.0195162890
25.000000	1223	0.0186617838
26.000000	1238	0.0188906691
27.000000	1259	0.0192111086
28.000000	1608	0.0245365072
29.000000	1533	0.0233920806
30.000000	1399	0.0213473716
31.000000	1556	0.0237430381
32.000000	1371	0.0209201190
33.000000	1219	0.0186007477
34.000000	1524	0.0232547494
35.000000	1384	0.0211184863
36.000000	1297	0.0197909514
37.000000	1126	0.0171816587
38.000000	1101	0.0168001831
39.000000	1454	0.0221866178
40.000000	993	0.0151522087
41.000000	1516	0.0231326772
42.000000	1254	0.0191348135
43.000000	1540	0.0234988937
44.000000	1372	0.0209353780
45.000000	1295	0.0197604334
46.000000	1184	0.0180666819
47.000000	1323	0.0201876860
48.000000	1535	0.0234225986
49.000000	1068	0.0162966354
50.000000	1392	0.0212405585
51.000000	1648	0.0251468681
52.000000	1225	0.0186923018
53.000000	1371	0.0209201190
54.000000	1310	0.0199893187
55.000000	1395	0.0212863355
56.000000	1592	0.0242923629
57.000000	1112	0.0169680323
58.000000	1336	0.0203860533
59.000000	1528	0.0233157855
60.000000	1016	0.0155031662
61.000000	1284	0.0195925841
62.000000	1290	0.0196841382
63.000000	1142	0.0174258030
64.000000	1459	0.0222629129
65.000000	1506	0.0229800870
66.000000	1266	0.0193179217
67.000000	1388	0.0211795224
68.000000	1286	0.0196231022
69.000000	1478	0.0225528344
