# wavelength_nm	counts_u16	rel_intensity
1.000000	3800	0.0579842832
2.000000	3901	0.0595254444
3.000000	3980	0.0607309071
4.000000	3873	0.0590981918
5.000000	3792	0.0578622110
6.000000	3896	0.0594491493
7.000000	3438	0.0524605173
8.000000	3776	0.0576180667
9.000000	3580	0.0546272984
10.000000	3839	0.0585793851
11.000000	3544	0.0540779736
12.000000	3891	0.0593728542
13.000000	3897	0.0594644083
14.000000	3868	0.0590218967
15.000000	4158	0.0634470130
16.000000	3681	0.0561684596
17.000000	3619	0.0552224002
18.000000	3661	0.0558632792
19.000000	3750	0.0572213321
20.000000	4009	0.0611734188
21.000000	3912	0.0596932937
22.000000	3640	0.0555428397
23.000000	3513	0.0536049439
24.000000	3661	0.0558632792
25.000000	3810	0.0581368734
26.000000	3715	0.0566872663
27.000000	3796	0.0579232471
28.000000	3466	0.0528877699
29.000000	4102	0.0625925078
30.000000	3799	0.0579690242
31.000000	3522	0.0537422751
32.000000	4197	0.0640421149
33.000000	3583	0.0546730755
34.000000	3769	0.0575112535
35.000000	3430	0.0523384451
36.000000	3609	0.0550698100
37.000000	3836	0.0585336080
38.000000	3747	0.0571755550
39.000000	3995	0.0609597925
40.000000	3412	0.0520637827
41.000000	3919	0.0598001068
42.000000	3983	0.0607766842
43.000000	3728	0.0568856336
44.000000	3703	0.0565041581
45.000000	3604	0.0549935149
46.000000	3681	0.0561684596
47.000000	3506	0.0534981308
48.000000	3963	0.0604715038
49.000000	3674	0.0560616464
50.000000	4144	0.0632333867
51.000000	3660	0.0558480201
52.000000	4011	0.0612039368
53.000000	4053	0.0618448157
54.000000	3749	0.0572060731
55.000000	3625	0.0553139544
56.000000	3911	0.0596780346
57.000000	3875	0.0591287098
58.000000	3765	0.0574502174
59.000000	4194	0.0639963378
60.000000	3489	0.0532387274
61.000000	3753	0.0572671092
62.000000	3810	0.0581368734
63.000000	3968	0.0605477989
64.000000	3667	0.0559548333
65.000000	3531	0.0538796063
66.000000	3775	0.0576028077
67.000000	3528	0.0538338293
68.000000	3971	0.0605935760
69.000000	3583	0.0546730755
70.000000	3691	0.0563210498
71.000000	3619	0.0552224002
72.000000	4029	0.0614785992
73.000000	4015	0.0612649729
74.000000	3831	0.0584573129
75.000000	3686	0.0562447547
76.000000	3841	0.0586099031
77.000000	3604	0.0549935149
78.000000	3832	0.0584725719
79.000000	3881	0.0592202640
80.000000	3856	0.0588387884
81.000000	3571	0.0544899672
82.000000	3588	0.0547493706
83.000000	3815	0.0582131685
84.000000	3617	0.0551918822
85.000000	3690	0.0563057908
86.000000	4036	0.0615854124
