# wavelength_nm	counts_u16	rel_intensity
1.000000	3114	0.0475165942
2.000000	2949	0.0449988556
3.000000	3145	0.0479896239
4.000000	3026	0.0461738003
5.000000	3148	0.0480354009
6.000000	3106	0.0473945220
7.000000	3132	0.0477912566
8.000000	3249	0.0495765621
9.000000	3086	0.0470893416
10.000000	3116	0.0475471122
11.000000	3344	0.0510261692
12.000000	3150	0.0480659190
13.000000	3437	0.0524452583
14.000000	3512	0.0535896849
15.000000	3097	0.0472571908
16.000000	3358	0.0512397955
17.000000	3227	0.0492408637
18.000000	3241	0.0494544900
19.000000	3190	0.0486762799
20.000000	3104	0.0473640040
21.000000	3176	0.0484626535
22.000000	3044	0.0464484627
23.000000	3119	0.0475928893
24.000000	3385	0.0516517891
25.000000	3051	0.0465552758
26.000000	3046	0.0464789807
27.000000	3014	0.0459906920
28.000000	3303	0.0504005493
29.000000	3045	0.0464637217
30.000000	2983	0.0455176623
31.000000	3380	0.0515754940
32.000000	3434	0.0523994812
33.000000	3052	0.0465705348
34.000000	3020	0.0460822461
35.000000	3666	0.0559395743
36.000000	3020	0.0460822461
37.000000	3285	0.0501258869
38.000000	2931	0.0447241932
39.000000	3110	0.0474555581
40.000000	2892	0.0441290913
41.000000	3382	0.0516060121
42.000000	3371	0.0514381628
43.000000	3341	0.0509803922
44.000000	3235	0.0493629358
45.000000	3411	0.0520485237
46.000000	2952	0.0450446326
47.000000	3176	0.0484626535
48.000000	3130	0.0477607385
49.000000	3242	0.0494697490
50.000000	3566	0.0544136721
51.000000	3469	0.0529335470
52.000000	3322	0.0506904707
53.000000	3168	0.0483405814
54.000000	3263	0.0497901884
55.000000	3164	0.0482795453
56.000000	3181	0.0485389487
57.000000	3210	0.0489814603
58.000000	3365	0.0513466087
59.000000	3147	0.0480201419
60.000000	3247	0.0495460441
61.000000	3252	0.0496223392
62.000000	3138	0.0478828107
63.000000	3024	0.0461432822
64.000000	3202	0.0488593881
65.000000	2967	0.0452735180
66.000000	3612	0.0551155871
67.000000	3161	0.0482337682
68.000000	3019	0.0460669871
69.000000	3327	0.0507667659
70.000000	3041	0.0464026856
71.000000	3006	0.0458686198
72.000000	3362	0.0513008316
73.000000	3116	0.0475471122
74.000000	3059	0.0466773480
75.000000	3213	0.0490272374
76.000000	2908	0.0443732357
77.000000	3242	0.0494697490
78.000000	3049	0.0465247578
79.000000	3222	0.0491645686
80.000000	3167	0.0483253223
81.000000	3191	0.0486915389
82.000000	3551	0.0541847868
83.000000	3304	0.0504158083
84.000000	3224	0.0491950866
85.000000	3236	0.0493781949
86.000000	2947	0.0449683375
87.000000	3023	0.0461280232
88.000000	3129	0.0477454795
89.000000	3041	0.0464026856
90.000000	3226	0.0492256046
91.000000	3110	0.0474555581
92.000000	2955	0.0450904097
93.000000	3088	0.0471198596
94.000000	3341	0.0509803922
95.000000	3184	0.0485847257
96.000000	3384	0.0516365301
97.000000	3238	0.0494087129
98.000000	2918	0.0445258259
99.000000	3206	0.0489204242
100.000000	3326	0.0507515068
101.000000	3330	0.0508125429
102.000000	3252	0.0496223392
103.000000	2984	0.0455329213
104.000000	3200	0.0488288701
105.000000	3330	0.0508125429
106.000000	3182	0.0485542077
107.000000	3277	0.0500038148
108.000000	2859	0.0436255436
109.000000	3276	0.0499885557
110.000000	3246	0.0495307851
111.000000	3142	0.0479438468
112.000000	3255	0.0496681163
113.000000	3193	0.0487220569
114.000000	3211	0.0489967193
115.000000	3252	0.0496223392
116.000000	3261	0.0497596704
117.000000	3134	0.0478217746
118.000000	3277	0.0500038148
119.000000	3240	0.0494392309
120.000000	3349	0.0511024643
121.000000	2891	0.0441138323
122.000000	3230	0.0492866407
123.000000	3177	0.0484779126
124.000000	3171	0.0483863584
125.000000	3333	0.0508583200
126.000000	3172	0.0484016175
127.000000	3066	0.0467841611
128.000000	3097	0.0472571908
129.000000	3130	0.0477607385
130.000000	3056	0.0466315709
131.000000	3427	0.0522926680
132.000000	3226	0.0492256046
133.000000	2940	0.0448615244
