# pixel_index	counts_u16	rel_intensity
1.000000	1321	0.0201571679
2.000000	1106	0.0168764782
3.000000	1482	0.0226138705
4.000000	952	0.0145265888
5.000000	1349	0.0205844205
6.000000	1284	0.0195925841
7.000000	1595	0.0243381399
8.000000	1352	0.0206301976
9.000000	1159	0.0176852064
10.000000	1331	0.0203097581
11.000000	1173	0.0178988327
12.000000	1015	0.0154879072
13.000000	1060	0.0161745632
14.000000	1441	0.0219882506
15.000000	1327	0.0202487221
16.000000	1557	0.0237582971
17.000000	1167	0.0178072786
18.000000	1194	0.0182192721
19.000000	1523	0.0232394903
20.000000	1187	0.0181124590
21.000000	1060	0.0161745632
22.000000	1521	0.0232089723
23.000000	1356	0.0206912337
24.000000	1451	0.0221408408
25.000000	1295	0.0197604334
26.000000	1212	0.0184939345
27.000000	1268	0.0193484398
28.000000	1476	0.0225223163
29.000000	1323	0.0201876860
30.000000	1340	0.0204470893
31.000000	1433	0.0218661784
32.000000	1464	0.0223392081
33.000000	891	0.0135957885
34.000000	1533	0.0233920806
35.000000	1196	0.0182497902
36.000000	1413	0.0215609979
37.000000	1398	0.0213321126
38.000000	1081	0.0164950027
39.000000	1189	0.0181429770
40.000000	1394	0.0212710765
41.000000	1541	0.0235141527
42.000000	1323	0.0201876860
43.000000	1094	0.0166933700
44.000000	1314	0.0200503548
45.000000	1444	0.0220340276
46.000000	1523	0.0232394903
47.000000	1262	0.0192568856
48.000000	1355	0.0206759747
49.000000	1154	0.0176089113
50.000000	1243	0.0189669642
51.000000	1163	0.0177462425
52.000000	1607	0.0245212482
53.000000	1478	0.0225528344
54.000000	1250	0.0190737774
55.000000	1180	0.0180056458
56.000000	1194	0.0182192721
57.000000	1395	0.0212863355
58.000000	1047	0.0159761959
59.000000	1368	0.0208743420
60.000000	1341	0.0204623484
61.000000	1153	0.0175936522
62.000000	1364	0.0208133059
63.000000	1111	0.0169527733
64.000000	1041	0.0158846418
65.000000	1276	0.0194705119
66.000000	1109	0.0169222553
67.000000	1261	0.0192416266
68.000000	1034	0.0157778286
69.000000	1279	0.0195162890
70.000000	1169	0.0178377966
71.000000	981	0.0149691005
72.000000	1192	0.0181887541
73.000000	1247	0.0190280003
74.000000	1199	0.0182955673
75.000000	1377	0.0210116732
76.000000	1519	0.0231784543
77.000000	1281	0.0195468070
78.000000	1318	0.0201113909
79.000000	1251	0.0190890364
80.000000	1198	0.0182803082
81.000000	1526	0.0232852674
82.000000	1587	0.0242160678
83.000000	1213	0.0185091936
84.000000	995	0.0151827268
85.000000	1630	0.0248722057
86.000000	1161	0.0177157244
87.000000	1051	0.0160372320
88.000000	1401	0.0213778897
89.000000	1474	0.0224917983
90.000000	1453	0.0221713588
91.000000	1174	0.0179140917
92.000000	1378	0.0210269322
93.000000	1478	0.0225528344
94.000000	1317	0.0200961318
95.000000	903	0.0137788968
96.000000	1572	0.0239871824
97.000000	1048	0.0159914549
98.000000	1314	0.0200503548
99.000000	1195	0.0182345312
100.000000	1401	0.0213778897
101.000000	967	0.0147554742
102.000000	1217	0.0185702296
103.000000	1230	0.0187685969
104.000000	1221	0.0186312657
105.000000	996	0.0151979858
106.000000	1056	0.0161135271
107.000000	1185	0.0180819409
108.000000	1393	0.0212558175
109.000000	1363	0.0207980468
110.000000	1307	0.0199435416
111.000000	1380	0.0210574502
112.000000	1223	0.0186617838
113.000000	1424	0.0217288472
114.000000	1123	0.0171358816
115.000000	1120	0.0170901045
116.000000	1261	0.0192416266
117.000000	1484	0.0226443885
118.000000	1238	0.0188906691
119.000000	1320	0.0201419089
120.000000	988	0.0150759136
121.000000	1252	0.0191042954
122.000000	1075	0.0164034485
123.000000	1120	0.0170901045
124.000000	1252	0.0191042954
125.000000	1297	0.0197909514
126.000000	1430	0.0218204013
127.000000	1083	0.0165255207
128.000000	1456	0.0222171359
129.000000	1459	0.0222629129
130.000000	1459	0.0222629129
131.000000	1243	0.0189669642
132.000000	1313	0.0200350958
133.000000	1482	0.0226138705
134.000000	967	0.0147554742
135.000000	1181	0.0180209049
136.000000	1358	0.0207217517
137.000000	1596	0.0243533989
138.000000	1105	0.0168612192
139.000000	1695	0.0258640421
140.000000	1452	0.0221560998
141.000000	1082	0.0165102617
142.000000	1281	0.0195468070
143.000000	1145	0.0174715801
144.000000	1414	0.0215762570
145.000000	1005	0.0153353170
146.000000	1340	0.0204470893
147.000000	1016	0.0155031662
148.000000	1354	0.0206607156
149.000000	1379	0.0210421912
150.000000	1384	0.0211184863
151.000000	1542	0.0235294118
152.000000	1406	0.0214541848
153.000000	1326	0.0202334630
154.000000	1279	0.0195162890
155.000000	1097	0.0167391470
156.000000	1306	0.0199282826
157.000000	1045	0.0159456779
158.000000	1210	0.0184634165
159.000000	1207	0.0184176394
160.000000	1239	0.0189059281
161.000000	1198	0.0182803082
162.000000	1346	0.0205386435
163.000000	1219	0.0186007477
164.000000	1289	0.0196688792
165.000000	1179	0.0179903868
166.000000	1312	0.0200198367
167.000000	1546	0.0235904479
168.000000	1559	0.0237888151
169.000000	1504	0.0229495689
