# pixel_index	counts_u16	rel_intensity
1.000000	1269	0.0193636988
2.000000	1260	0.0192263676
3.000000	1005	0.0153353170
4.000000	1265	0.0193026627
5.000000	1197	0.0182650492
6.000000	1263	0.0192721447
7.000000	1404	0.0214236667
8.000000	1087	0.0165865568
9.000000	1009	0.0153963531
10.000000	1373	0.0209506371
11.000000	1184	0.0180666819
12.000000	1467	0.0223849851
13.000000	1391	0.0212252995
14.000000	1176	0.0179446098
15.000000	1165	0.0177767605
16.000000	1127	0.0171969177
17.000000	1348	0.0205691615
18.000000	1130	0.0172426947
19.000000	1399	0.0213473716
20.000000	1374	0.0209658961
21.000000	1367	0.0208590829
22.000000	1283	0.0195773251
23.000000	1219	0.0186007477
24.000000	1559	0.0237888151
25.000000	1103	0.0168307012
26.000000	1284	0.0195925841
27.000000	1279	0.0195162890
28.000000	1096	0.0167238880
29.000000	1151	0.0175631342
30.000000	1139	0.0173800259
31.000000	1446	0.0220645457
32.000000	1179	0.0179903868
33.000000	1527	0.0233005264
34.000000	1233	0.0188143740
35.000000	1491	0.0227512016
36.000000	1076	0.0164187076
37.000000	1065	0.0162508583
38.000000	1216	0.0185549706
39.000000	1283	0.0195773251
40.000000	1268	0.0193484398
41.000000	1376	0.0209964141
42.000000	1306	0.0199282826
43.000000	1101	0.0168001831
44.000000	950	0.0144960708
45.000000	1350	0.0205996796
46.000000	1516	0.0231326772
47.000000	1144	0.0174563210
48.000000	1200	0.0183108263
49.000000	1265	0.0193026627
50.000000	1137	0.0173495079
51.000000	1282	0.0195620661
52.000000	1157	0.0176546883
53.000000	1454	0.0221866178
54.000000	979	0.0149385824
55.000000	961	0.0146639200
56.000000	1368	0.0208743420
57.000000	1506	0.0229800870
58.000000	1249	0.0190585183
59.000000	1428	0.0217898833
60.000000	1078	0.0164492256
61.000000	1014	0.0154726482
62.000000	1506	0.0229800870
63.000000	1251	0.0190890364
64.000000	1204	0.0183718624
65.000000	1390	0.0212100404
66.000000	1251	0.0190890364
67.000000	1016	0.0155031662
68.000000	992	0.0151369497
69.000000	1306	0.0199282826
70.000000	1213	0.0185091936
71.000000	1198	0.0182803082
72.000000	1201	0.0183260853
73.000000	1275	0.0194552529
74.000000	1359	0.0207370108
75.000000	1190	0.0181582361
76.000000	1370	0.0209048600
77.000000	1511	0.0230563821
78.000000	1169	0.0178377966
79.000000	1057	0.0161287861
80.000000	1330	0.0202944991
81.000000	1173	0.0178988327
82.000000	1237	0.0188754101
83.000000	1074	0.0163881895
84.000000	1237	0.0188754101
85.000000	1277	0.0194857710
86.000000	1218	0.0185854887
87.000000	1110	0.0169375143
88.000000	1062	0.0162050813
89.000000	1351	0.0206149386
90.000000	1231	0.0187838560
91.000000	1426	0.0217593652
92.000000	1366	0.0208438239
93.000000	1231	0.0187838560
94.000000	947	0.0144502937
95.000000	1220	0.0186160067
96.000000	1403	0.0214084077
97.000000	1262	0.0192568856
98.000000	1290	0.0196841382
99.000000	1361	0.0207675288
100.000000	1549	0.0236362249
101.000000	1252	0.0191042954
102.000000	1043	0.0159151598
103.000000	1451	0.0221408408
104.000000	1427	0.0217746242
105.000000	1091	0.0166475929
106.000000	1121	0.0171053635
107.000000	1421	0.0216830701
108.000000	820	0.0125123980
109.000000	1113	0.0169832914
110.000000	1306	0.0199282826
111.000000	1438	0.0219424735
112.000000	1224	0.0186770428
113.000000	1185	0.0180819409
114.000000	997	0.0152132448
115.000000	1026	0.0156557565
116.000000	996	0.0151979858
117.000000	1416	0.0216067750
118.000000	1412	0.0215457389
119.000000	1250	0.0190737774
120.000000	1253	0.0191195544
121.000000	1686	0.0257267109
122.000000	1319	0.0201266499
123.000000	1393	0.0212558175
124.000000	1140	0.0173952850
125.000000	1134	0.0173037308
126.000000	1405	0.0214389258
127.000000	900	0.0137331197
128.000000	1253	0.0191195544
129.000000	1232	0.0187991150
130.000000	1320	0.0201419089
131.000000	1442	0.0220035096
132.000000	1067	0.0162813764
133.000000	1367	0.0208590829
134.000000	1251	0.0190890364
135.000000	1117	0.0170443275
136.000000	960	0.0146486610
137.000000	1262	0.0192568856
138.000000	1227	0.0187228199
139.000000	961	0.0146639200
140.000000	1357	0.0207064927
141.000000	1179	0.0179903868
142.000000	1316	0.0200808728
143.000000	1005	0.0153353170
144.000000	1199	0.0182955673
145.000000	1197	0.0182650492
146.000000	1219	0.0186007477
147.000000	1027	0.0156710155
148.000000	1094	0.0166933700
149.000000	1159	0.0176852064
150.000000	1217	0.0185702296
151.000000	1624	0.0247806516
152.000000	1223	0.0186617838
153.000000	1143	0.0174410620
154.000000	1393	0.0212558175
155.000000	1007	0.0153658350
156.000000	824	0.0125734340
157.000000	1544	0.0235599298
158.000000	1073	0.0163729305
159.000000	1331	0.0203097581
160.000000	1238	0.0188906691
161.000000	1275	0.0194552529
162.000000	1139	0.0173800259
163.000000	1238	0.0188906691
164.000000	1060	0.0161745632
165.000000	1304	0.0198977646
166.000000	1148	0.0175173571
167.000000	1304	0.0198977646
168.000000	1416	0.0216067750
169.000000	1052	0.0160524910
170.000000	1674	0.0255436027
171.000000	1165	0.0177767605
172.000000	885	0.0135042344
173.000000	1157	0.0176546883
