# wavelength_nm	counts_u16	rel_intensity
1.000000	3008	0.0458991379
2.000000	3200	0.0488288701
3.000000	2944	0.0449225605
4.000000	3200	0.0488288701
33.000000	2816	0.0429694057
34.000000	3072	0.0468757153
35.000000	3072	0.0468757153
36.000000	3072	0.0468757153
65.000000	3200	0.0488288701
66.000000	3200	0.0488288701
67.000000	2944	0.0449225605
68.000000	3200	0.0488288701
97.000000	2816	0.0429694057
98.000000	3072	0.0468757153
99.000000	2816	0.0429694057
100.000000	3072	0.0468757153
129.000000	2944	0.0449225605
130.000000	2944	0.0449225605
131.000000	3200	0.0488288701
132.000000	3200	0.0488288701
161.000000	3072	0.0468757153
162.000000	3072	0.0468757153
163.000000	3072	0.0468757153
164.000000	3072	0.0468757153
193.000000	3200	0.0488288701
194.000000	3200	0.0488288701
195.000000	3200	0.0488288701
196.000000	3200	0.0488288701
225.000000	2816	0.0429694057
226.000000	3072	0.0468757153
227.000000	3072	0.0468757153
228.000000	3072	0.0468757153
257.000000	3200	0.0488288701
258.000000	3200	0.0488288701
259.000000	3200	0.0488288701
260.000000	3200	0.0488288701
289.000000	3072	0.0468757153
290.000000	3072	0.0468757153
291.000000	3072	0.0468757153
292.000000	3072	0.0468757153
321.000000	3200	0.0488288701
322.000000	3200	0.0488288701
323.000000	3200	0.0488288701
324.000000	3200	0.0488288701
353.000000	3072	0.0468757153
354.000000	3328	0.0507820249
355.000000	3072	0.0468757153
356.000000	3072	0.0468757153
385.000000	3200	0.0488288701
386.000000	3456	0.0527351797
387.000000	3200	0.0488288701
388.000000	3200	0.0488288701
417.000000	3072	0.0468757153
418.000000	3328	0.0507820249
419.000000	3328	0.0507820249
420.000000	3328	0.0507820249
449.000000	3456	0.0527351797
450.000000	3200	0.0488288701
451.000000	3200	0.0488288701
452.000000	3456	0.0527351797
481.000000	3072	0.0468757153
482.000000	3328	0.0507820249
483.000000	3072	0.0468757153
484.000000	3328	0.0507820249
513.000000	3200	0.0488288701
514.000000	3456	0.0527351797
515.000000	3200	0.0488288701
516.000000	3456	0.0527351797
545.000000	3328	0.0507820249
546.000000	3328	0.0507820249
547.000000	3072	0.0468757153
548.000000	3328	0.0507820249
577.000000	3456	0.0527351797
578.000000	3200	0.0488288701
579.000000	3200	0.0488288701
580.000000	3456	0.0527351797
609.000000	3072	0.0468757153
610.000000	3584	0.0546883345
611.000000	3328	0.0507820249
612.000000	3072	0.0468757153
641.000000	3456	0.0527351797
642.000000	3456	0.0527351797
643.000000	3456	0.0527351797
644.000000	3456	0.0527351797
673.000000	3328	0.0507820249
674.000000	3584	0.0546883345
675.000000	3584	0.0546883345
676.000000	3328	0.0507820249
705.000000	3456	0.0527351797
706.000000	3456	0.0527351797
707.000000	3456	0.0527351797
708.000000	3712	0.0566414893
737.000000	3328	0.0507820249
738.000000	3584	0.0546883345
739.000000	3328	0.0507820249
740.000000	3584	0.0546883345
769.000000	3712	0.0566414893
770.000000	3712	0.0566414893
771.000000	3456	0.0527351797
772.000000	3712	0.0566414893
801.000000	3584	0.0546883345
802.000000	3584	0.0546883345
803.000000	3584	0.0546883345
804.000000	3840	0.0585946441
833.000000	3456	0.0527351797
834.000000	3712	0.0566414893
835.000000	3456	0.0527351797
836.000000	3712	0.0566414893
865.000000	3584	0.0546883345
866.000000	3584	0.0546883345
867.000000	3584	0.0546883345
868.000000	4096	0.0625009537
897.000000	3712	0.0566414893
898.000000	4224	0.0644541085
899.000000	4224	0.0644541085
900.000000	4736	0.0722667277
929.000000	6144	0.0937514305
930.000000	13568	0.2070344091
931.000000	15872	0.2421911955
932.000000	7936	0.1210955978
961.000000	7552	0.1152361334
962.000000	8832	0.1347676814
963.000000	6016	0.0917982757
964.000000	5504	0.0839856565
993.000000	6656	0.1015640497
994.000000	10752	0.1640650034
995.000000	12544	0.1914091707
996.000000	11520	0.1757839322
1025.000000	12416	0.1894560159
1026.000000	7040	0.1074235142
1027.000000	7040	0.1074235142
1028.000000	7296	0.1113298238
1057.000000	9216	0.1406271458
1058.000000	8704	0.1328145266
1059.000000	13056	0.1992217899
1060.000000	12800	0.1953154803
1089.000000	26496	0.4043030442
1090.000000	19072	0.2910200656
1091.000000	6272	0.0957045853
1092.000000	7552	0.1152361334
1121.000000	14592	0.2226596475
1122.000000	9216	0.1406271458
1123.000000	5632	0.0859388113
1124.000000	7680	0.1171892882
1153.000000	6016	0.0917982757
1154.000000	7040	0.1074235142
1155.000000	11648	0.1777370871
1156.000000	9088	0.1386739910
1185.000000	5888	0.0898451209
1186.000000	4096	0.0625009537
1187.000000	3840	0.0585946441
1188.000000	3840	0.0585946441
1217.000000	3968	0.0605477989
1218.000000	4736	0.0722667277
1219.000000	8576	0.1308613718
1220.000000	7552	0.1152361334
1249.000000	4608	0.0703135729
1250.000000	7680	0.1171892882
1251.000000	11520	0.1757839322
1252.000000	5888	0.0898451209
1281.000000	4224	0.0644541085
1282.000000	3968	0.0605477989
1283.000000	4736	0.0722667277
1284.000000	4736	0.0722667277
1313.000000	4864	0.0742198825
1314.000000	5632	0.0859388113
1315.000000	4864	0.0742198825
1316.000000	4352	0.0664072633
1345.000000	4480	0.0683604181
1346.000000	4736	0.0722667277
1347.000000	4736	0.0722667277
1348.000000	4992	0.0761730373
1377.000000	4864	0.0742198825
1378.000000	4608	0.0703135729
1379.000000	4608	0.0703135729
1380.000000	4608	0.0703135729
1409.000000	4480	0.0683604181
1410.000000	4224	0.0644541085
1411.000000	4480	0.0683604181
1412.000000	4480	0.0683604181
1441.000000	4352	0.0664072633
1442.000000	4096	0.0625009537
1443.000000	4352	0.0664072633
1444.000000	4096	0.0625009537
1473.000000	4480	0.0683604181
1474.000000	4224	0.0644541085
1475.000000	4224	0.0644541085
1476.000000	4480	0.0683604181
1505.000000	4352	0.0664072633
1506.000000	4352	0.0664072633
1507.000000	4352	0.0664072633
1508.000000	4352	0.0664072633
1537.000000	4224	0.0644541085
1538.000000	4480	0.0683604181
1539.000000	4224	0.0644541085
1540.000000	4224	0.0644541085
1569.000000	4352	0.0664072633
1570.000000	4352	0.0664072633
1571.000000	4352	0.0664072633
1572.000000	4352	0.0664072633
