# wavelength_nm	counts_u16	rel_intensity
1.000000	965	0.0147249561
2.000000	1110	0.0169375143
3.000000	927	0.0141451133
4.000000	794	0.0121156634
5.000000	902	0.0137636378
6.000000	961	0.0146639200
7.000000	689	0.0105134661
8.000000	968	0.0147707332
9.000000	804	0.0122682536
10.000000	905	0.0138094148
11.000000	1059	0.0161593042
12.000000	938	0.0143129625
13.000000	862	0.0131532769
14.000000	658	0.0100404364
15.000000	951	0.0145113298
16.000000	584	0.0089112688
17.000000	769	0.0117341878
18.000000	987	0.0150606546
19.000000	807	0.0123140307
20.000000	926	0.0141298543
21.000000	1023	0.0156099794
22.000000	593	0.0090486000
23.000000	794	0.0121156634
24.000000	679	0.0103608759
25.000000	742	0.0113221942
26.000000	711	0.0108491646
27.000000	930	0.0141908904
28.000000	1045	0.0159456779
29.000000	1028	0.0156862745
30.000000	1087	0.0165865568
31.000000	878	0.0133974212
32.000000	901	0.0137483787
33.000000	717	0.0109407187
34.000000	1032	0.0157473106
35.000000	871	0.0132906081
36.000000	748	0.0114137484
37.000000	748	0.0114137484
38.000000	477	0.0072785534
39.000000	973	0.0148470283
40.000000	735	0.0112153811
41.000000	1016	0.0155031662
42.000000	667	0.0101777676
43.000000	1102	0.0168154421
44.000000	1088	0.0166018158
45.000000	677	0.0103303578
46.000000	830	0.0126649882
47.000000	791	0.0120698863
48.000000	947	0.0144502937
49.000000	840	0.0128175784
50.000000	793	0.0121004044
51.000000	960	0.0146486610
52.000000	913	0.0139314870
53.000000	843	0.0128633555
54.000000	753	0.0114900435
55.000000	838	0.0127870603
56.000000	717	0.0109407187
57.000000	789	0.0120393683
58.000000	967	0.0147554742
59.000000	886	0.0135194934
60.000000	914	0.0139467460
61.000000	796	0.0121461814
62.000000	786	0.0119935912
63.000000	879	0.0134126802
64.000000	1036	0.0158083467
65.000000	970	0.0148012512
66.000000	866	0.0132143130
67.000000	957	0.0146028840
68.000000	773	0.0117952239
69.000000	906	0.0138246738
70.000000	851	0.0129854276
71.000000	679	0.0103608759
72.000000	792	0.0120851453
73.000000	757	0.0115510796
74.000000	1146	0.0174868391
75.000000	940	0.0143434806
76.000000	792	0.0120851453
77.000000	746	0.0113832303
78.000000	745	0.0113679713
79.000000	830	0.0126649882
80.000000	733	0.0111848631
81.000000	876	0.0133669032
82.000000	511	0.0077973602
83.000000	961	0.0146639200
84.000000	634	0.0096742199
85.000000	902	0.0137636378
86.000000	921	0.0140535592
87.000000	778	0.0118715190
88.000000	835	0.0127412833
89.000000	963	0.0146944381
90.000000	717	0.0109407187
91.000000	1167	0.0178072786
92.000000	827	0.0126192111
93.000000	817	0.0124666209
94.000000	1059	0.0161593042
95.000000	867	0.0132295720
96.000000	926	0.0141298543
97.000000	962	0.0146791791
98.000000	915	0.0139620050
99.000000	722	0.0110170138
100.000000	958	0.0146181430
101.000000	710	0.0108339055
102.000000	705	0.0107576104
103.000000	1049	0.0160067140
104.000000	1046	0.0159609369
105.000000	747	0.0113984894
106.000000	1072	0.0163576715
107.000000	716	0.0109254597
108.000000	861	0.0131380179
109.000000	739	0.0112764172
110.000000	926	0.0141298543
111.000000	772	0.0117799649
112.000000	717	0.0109407187
113.000000	873	0.0133211261
114.000000	978	0.0149233234
115.000000	868	0.0132448310
116.000000	660	0.0100709545
117.000000	1050	0.0160219730
118.000000	712	0.0108644236
119.000000	797	0.0121614405
120.000000	723	0.0110322728
121.000000	592	0.0090333410
122.000000	963	0.0146944381
123.000000	984	0.0150148775
124.000000	900	0.0137331197
125.000000	830	0.0126649882
126.000000	1035	0.0157930877
127.000000	718	0.0109559777
128.000000	760	0.0115968566
129.000000	819	0.0124971389
130.000000	820	0.0125123980
131.000000	949	0.0144808118
132.000000	843	0.0128633555
133.000000	643	0.0098115511
134.000000	857	0.0130769818
135.000000	900	0.0137331197
136.000000	823	0.0125581750
137.000000	894	0.0136415656
138.000000	783	0.0119478141
139.000000	731	0.0111543450
140.000000	817	0.0124666209
141.000000	916	0.0139772641
142.000000	1080	0.0164797436
143.000000	749	0.0114290074
144.000000	886	0.0135194934
145.000000	788	0.0120241093
146.000000	978	0.0149233234
147.000000	835	0.0127412833
148.000000	932	0.0142214084
149.000000	871	0.0132906081
150.000000	611	0.0093232624
151.000000	838	0.0127870603
152.000000	799	0.0121919585
153.000000	935	0.0142671855
154.000000	877	0.0133821622
155.000000	1093	0.0166781109
156.000000	1005	0.0153353170
157.000000	1012	0.0154421302
158.000000	837	0.0127718013
159.000000	919	0.0140230411
160.000000	973	0.0148470283
161.000000	888	0.0135500114
162.000000	1021	0.0155794614
163.000000	919	0.0140230411
164.000000	937	0.0142977035
165.000000	998	0.0152285039
166.000000	820	0.0125123980
167.000000	569	0.0086823835
168.000000	798	0.0121766995
169.000000	964	0.0147096971
170.000000	835	0.0127412833
171.000000	732	0.0111696040
172.000000	939	0.0143282216
173.000000	879	0.0134126802
174.000000	594	0.0090638590
175.000000	888	0.0135500114
176.000000	776	0.0118410010
177.000000	941	0.0143587396
178.000000	800	0.0122072175
179.000000	943	0.0143892576
180.000000	917	0.0139925231
181.000000	965	0.0147249561
182.000000	860	0.0131227588
183.000000	997	0.0152132448
184.000000	984	0.0150148775
185.000000	812	0.0123903258
186.000000	786	0.0119935912
187.000000	708	0.0108033875
188.000000	761	0.0116121157
189.000000	733	0.0111848631
190.000000	788	0.0120241093
191.000000	691	0.0105439841
192.000000	849	0.0129549096
193.000000	894	0.0136415656
194.000000	1101	0.0168001831
195.000000	794	0.0121156634
196.000000	1093	0.0166781109
197.000000	969	0.0147859922
198.000000	675	0.0102998398
199.000000	792	0.0120851453
200.000000	733	0.0111848631
201.000000	794	0.0121156634
202.000000	828	0.0126344701
203.000000	830	0.0126649882
204.000000	666	0.0101625086
205.000000	998	0.0152285039
206.000000	860	0.0131227588
207.000000	899	0.0137178607
208.000000	941	0.0143587396
209.000000	1039	0.0158541238
210.000000	616	0.0093995575
211.000000	735	0.0112153811
212.000000	833	0.0127107652
213.000000	960	0.0146486610
214.000000	1015	0.0154879072
215.000000	942	0.0143739986
216.000000	1047	0.0159761959
217.000000	782	0.0119325551
218.000000	917	0.0139925231
219.000000	872	0.0133058671
220.000000	847	0.0129243915
221.000000	811	0.0123750668
222.000000	1021	0.0155794614
223.000000	933	0.0142366674
224.000000	642	0.0097962921
225.000000	929	0.0141756313
226.000000	873	0.0133211261
227.000000	661	0.0100862135
228.000000	952	0.0145265888
229.000000	1125	0.0171663996
230.000000	810	0.0123598077
231.000000	836	0.0127565423
232.000000	866	0.0132143130
233.000000	873	0.0133211261
234.000000	1136	0.0173342489
235.000000	754	0.0115053025
236.000000	739	0.0112764172
237.000000	869	0.0132600900
238.000000	853	0.0130159457
239.000000	985	0.0150301366
240.000000	1142	0.0174258030
241.000000	804	0.0122682536
242.000000	1082	0.0165102617
243.000000	827	0.0126192111
244.000000	966	0.0147402152
245.000000	902	0.0137636378
246.000000	809	0.0123445487
247.000000	760	0.0115968566
248.000000	885	0.0135042344
249.000000	930	0.0141908904
250.000000	866	0.0132143130
251.000000	985	0.0150301366
252.000000	840	0.0128175784
253.000000	812	0.0123903258
254.000000	1219	0.0186007477
255.000000	843	0.0128633555
256.000000	1099	0.0167696651
257.000000	636	0.0097047379
258.000000	639	0.0097505150
259.000000	779	0.0118867781
260.000000	799	0.0121919585
261.000000	825	0.0125886931
262.000000	796	0.0121461814
263.000000	1089	0.0166170748
264.000000	720	0.0109864958
265.000000	1038	0.0158388647
266.000000	824	0.0125734340
267.000000	823	0.0125581750
268.000000	786	0.0119935912
269.000000	703	0.0107270924
270.000000	617	0.0094148165
271.000000	908	0.0138551919
272.000000	1015	0.0154879072
273.000000	893	0.0136263066
274.000000	865	0.0131990539
275.000000	835	0.0127412833
276.000000	855	0.0130464637
277.000000	664	0.0101319905
278.000000	905	0.0138094148
279.000000	936	0.0142824445
280.000000	920	0.0140383001
281.000000	958	0.0146181430
282.000000	995	0.0151827268
283.000000	807	0.0123140307
284.000000	818	0.0124818799
285.000000	1024	0.0156252384
286.000000	800	0.0122072175
287.000000	929	0.0141756313
