# pixel_index	counts_u16	rel_intensity
1.000000	2381	0.0363317311
2.000000	2443	0.0372777905
3.000000	2275	0.0347142748
4.000000	2234	0.0340886549
5.000000	2066	0.0315251392
6.000000	2456	0.0374761578
7.000000	2420	0.0369268330
8.000000	2423	0.0369726101
9.000000	2153	0.0328526741
10.000000	2139	0.0326390478
11.000000	2493	0.0380407416
12.000000	2172	0.0331425956
13.000000	2442	0.0372625315
14.000000	2313	0.0352941176
15.000000	2113	0.0322423133
16.000000	2122	0.0323796445
17.000000	2272	0.0346684977
18.000000	2282	0.0348210880
19.000000	2545	0.0388342107
20.000000	2263	0.0345311666
21.000000	2638	0.0402532998
22.000000	2205	0.0336461433
23.000000	2306	0.0351873045
24.000000	2192	0.0334477760
25.000000	2347	0.0358129244
26.000000	2309	0.0352330816
27.000000	2314	0.0353093767
28.000000	2437	0.0371862364
29.000000	2354	0.0359197375
30.000000	2020	0.0308232242
31.000000	2398	0.0365911345
32.000000	2580	0.0393682765
33.000000	2350	0.0358587015
34.000000	2381	0.0363317311
35.000000	2319	0.0353856718
36.000000	2461	0.0375524529
37.000000	2192	0.0334477760
38.000000	2227	0.0339818418
39.000000	2225	0.0339513237
40.000000	2206	0.0336614023
41.000000	2320	0.0354009308
42.000000	2286	0.0348821241
43.000000	2361	0.0360265507
44.000000	2292	0.0349736782
45.000000	2216	0.0338139925
46.000000	2094	0.0319523919
47.000000	2197	0.0335240711
48.000000	2373	0.0362096590
49.000000	2478	0.0378118563
50.000000	2590	0.0395208667
51.000000	2541	0.0387731746
52.000000	2384	0.0363775082
53.000000	2008	0.0306401160
54.000000	2167	0.0330663005
55.000000	2551	0.0389257649
56.000000	2434	0.0371404593
57.000000	2209	0.0337071794
58.000000	2364	0.0360723278
59.000000	2160	0.0329594873
60.000000	1993	0.0304112306
61.000000	2329	0.0355382620
62.000000	2462	0.0375677119
63.000000	2092	0.0319218738
64.000000	2477	0.0377965972
65.000000	2460	0.0375371939
66.000000	2219	0.0338597696
67.000000	2138	0.0326237888
68.000000	2238	0.0341496910
69.000000	2296	0.0350347143
70.000000	2123	0.0323949035
71.000000	2628	0.0401007095
72.000000	2184	0.0333257038
73.000000	2539	0.0387426566
74.000000	2297	0.0350499733
75.000000	2304	0.0351567864
76.000000	2436	0.0371709773
77.000000	2279	0.0347753109
78.000000	2034	0.0310368505
79.000000	2155	0.0328831922
80.000000	2495	0.0380712596
81.000000	2164	0.0330205234
82.000000	2153	0.0328526741
83.000000	2302	0.0351262684
84.000000	2293	0.0349889372
85.000000	2271	0.0346532387
86.000000	2110	0.0321965362
87.000000	2148	0.0327763790
88.000000	2399	0.0366063935
89.000000	2361	0.0360265507
90.000000	2225	0.0339513237
91.000000	2365	0.0360875868
92.000000	1944	0.0296635386
93.000000	2089	0.0318760967
94.000000	2514	0.0383611810
95.000000	2242	0.0342107271
96.000000	2481	0.0378576333
97.000000	2351	0.0358739605
98.000000	2402	0.0366521706
99.000000	2277	0.0347447929
100.000000	2351	0.0358739605
101.000000	2636	0.0402227817
102.000000	2239	0.0341649500
103.000000	2532	0.0386358434
104.000000	2046	0.0312199588
105.000000	2094	0.0319523919
106.000000	2046	0.0312199588
107.000000	2365	0.0360875868
108.000000	2363	0.0360570687
109.000000	2515	0.0383764401
110.000000	2042	0.0311589227
111.000000	2350	0.0358587015
112.000000	2328	0.0355230030
113.000000	2453	0.0374303807
114.000000	2548	0.0388799878
115.000000	2393	0.0365148394
116.000000	2387	0.0364232853
117.000000	2413	0.0368200198
118.000000	2333	0.0355992981
119.000000	2308	0.0352178225
120.000000	2130	0.0325017166
121.000000	2375	0.0362401770
122.000000	2475	0.0377660792
123.000000	2434	0.0371404593
124.000000	2456	0.0374761578
125.000000	2367	0.0361181048
126.000000	2304	0.0351567864
127.000000	2219	0.0338597696
128.000000	2223	0.0339208057
129.000000	2456	0.0374761578
130.000000	2243	0.0342259861
131.000000	2216	0.0338139925
132.000000	2434	0.0371404593
