# wavelength_nm	counts_u16	rel_intensity
1.000000	1003	0.0153047990
2.000000	1087	0.0165865568
3.000000	1186	0.0180972000
4.000000	930	0.0141908904
5.000000	557	0.0084992752
6.000000	815	0.0124361028
7.000000	917	0.0139925231
8.000000	811	0.0123750668
9.000000	1054	0.0160830091
10.000000	790	0.0120546273
11.000000	974	0.0148622873
12.000000	1127	0.0171969177
13.000000	956	0.0145876249
14.000000	836	0.0127565423
15.000000	975	0.0148775463
16.000000	878	0.0133974212
17.000000	649	0.0099031052
18.000000	818	0.0124818799
19.000000	734	0.0112001221
20.000000	721	0.0110017548
21.000000	1005	0.0153353170
22.000000	869	0.0132600900
23.000000	776	0.0118410010
24.000000	844	0.0128786145
25.000000	878	0.0133974212
26.000000	784	0.0119630732
27.000000	812	0.0123903258
28.000000	974	0.0148622873
29.000000	949	0.0144808118
30.000000	1258	0.0191958495
31.000000	972	0.0148317693
32.000000	983	0.0149996185
33.000000	902	0.0137636378
34.000000	1111	0.0169527733
35.000000	978	0.0149233234
36.000000	1034	0.0157778286
37.000000	607	0.0092622263
38.000000	924	0.0140993362
39.000000	911	0.0139009689
40.000000	740	0.0112916762
41.000000	1048	0.0159914549
42.000000	851	0.0129854276
43.000000	1115	0.0170138094
44.000000	1091	0.0166475929
45.000000	935	0.0142671855
46.000000	985	0.0150301366
47.000000	778	0.0118715190
48.000000	1125	0.0171663996
49.000000	825	0.0125886931
50.000000	1080	0.0164797436
51.000000	1034	0.0157778286
52.000000	1140	0.0173952850
53.000000	1021	0.0155794614
54.000000	1094	0.0166933700
55.000000	778	0.0118715190
56.000000	729	0.0111238270
57.000000	1248	0.0190432593
58.000000	889	0.0135652705
59.000000	935	0.0142671855
60.000000	695	0.0106050202
61.000000	896	0.0136720836
62.000000	853	0.0130159457
63.000000	935	0.0142671855
64.000000	1482	0.0226138705
65.000000	791	0.0120698863
66.000000	955	0.0145723659
67.000000	860	0.0131227588
68.000000	945	0.0144197757
69.000000	999	0.0152437629
70.000000	988	0.0150759136
71.000000	942	0.0143739986
72.000000	1136	0.0173342489
73.000000	1030	0.0157167926
74.000000	1297	0.0197909514
75.000000	849	0.0129549096
76.000000	747	0.0113984894
77.000000	902	0.0137636378
78.000000	668	0.0101930266
79.000000	976	0.0148928054
80.000000	903	0.0137788968
81.000000	1020	0.0155642023
82.000000	855	0.0130464637
83.000000	1124	0.0171511406
84.000000	1085	0.0165560388
85.000000	961	0.0146639200
86.000000	997	0.0152132448
87.000000	1037	0.0158236057
88.000000	907	0.0138399329
89.000000	763	0.0116426337
90.000000	817	0.0124666209
91.000000	1012	0.0154421302
92.000000	1090	0.0166323339
93.000000	1058	0.0161440452
94.000000	1028	0.0156862745
95.000000	1181	0.0180209049
96.000000	797	0.0121614405
97.000000	1079	0.0164644846
98.000000	936	0.0142824445
99.000000	915	0.0139620050
100.000000	1020	0.0155642023
101.000000	1025	0.0156404974
102.000000	1043	0.0159151598
103.000000	1042	0.0158999008
104.000000	1046	0.0159609369
105.000000	1064	0.0162355993
106.000000	833	0.0127107652
107.000000	779	0.0118867781
108.000000	1036	0.0158083467
109.000000	935	0.0142671855
110.000000	1040	0.0158693828
111.000000	837	0.0127718013
112.000000	636	0.0097047379
113.000000	1044	0.0159304189
114.000000	821	0.0125276570
115.000000	953	0.0145418479
116.000000	663	0.0101167315
117.000000	840	0.0128175784
118.000000	587	0.0089570459
119.000000	910	0.0138857099
120.000000	1079	0.0164644846
121.000000	606	0.0092469673
122.000000	1231	0.0187838560
123.000000	595	0.0090791180
124.000000	887	0.0135347524
125.000000	767	0.0117036698
126.000000	1103	0.0168307012
127.000000	951	0.0145113298
128.000000	1041	0.0158846418
129.000000	1046	0.0159609369
130.000000	906	0.0138246738
131.000000	1118	0.0170595865
132.000000	1117	0.0170443275
133.000000	801	0.0122224765
134.000000	693	0.0105745022
135.000000	1062	0.0162050813
136.000000	937	0.0142977035
137.000000	998	0.0152285039
138.000000	850	0.0129701686
139.000000	852	0.0130006867
140.000000	1052	0.0160524910
141.000000	916	0.0139772641
142.000000	991	0.0151216907
143.000000	800	0.0122072175
144.000000	833	0.0127107652
145.000000	740	0.0112916762
146.000000	1055	0.0160982681
147.000000	864	0.0131837949
148.000000	774	0.0118104829
149.000000	776	0.0118410010
150.000000	686	0.0104676890
151.000000	1077	0.0164339666
