# wavelength_nm	counts_u16	rel_intensity
350.977108	2975	0.0453955901
351.423786	3250	0.0495918212
351.870463	3218	0.0491035325
352.317141	2841	0.0433508812
352.763819	3106	0.0473945220
353.210497	3240	0.0494392309
353.657175	3340	0.0509651331
354.103853	3044	0.0464484627
354.550530	3431	0.0523537041
354.997208	3507	0.0535133898
355.443886	3067	0.0467994202
355.890564	3286	0.0501411460
356.337242	3104	0.0473640040
356.783920	3335	0.0508888380
357.230597	3264	0.0498054475
357.677275	3032	0.0462653544
358.123953	3488	0.0532234684
358.570631	3149	0.0480506600
359.017309	3431	0.0523537041
359.463987	3251	0.0496070802
359.910664	3062	0.0467231250
360.357342	3311	0.0505226215
360.804020	3097	0.0472571908
361.250698	3077	0.0469520104
361.697376	3128	0.0477302205
362.144054	3060	0.0466926070
362.590731	3156	0.0481574731
363.037409	3072	0.0468757153
363.484087	3224	0.0491950866
363.930765	3175	0.0484473945
364.377443	3392	0.0517586023
364.824121	3089	0.0471351186
365.270798	3429	0.0523231861
365.717476	3140	0.0479133288
366.164154	3353	0.0511635004
366.610832	3295	0.0502784771
367.057510	3101	0.0473182269
367.504188	3175	0.0484473945
367.950865	2958	0.0451361868
368.397543	3203	0.0488746471
368.844221	3062	0.0467231250
369.290899	2832	0.0432135500
369.737577	3067	0.0467994202
370.184255	2936	0.0448004883
370.630932	2985	0.0455481804
371.077610	3263	0.0497901884
371.524288	3102	0.0473334859
371.970966	3215	0.0490577554
372.417644	3389	0.0517128252
372.864322	3308	0.0504768444
373.310999	3181	0.0485389487
373.757677	2996	0.0457160296
374.204355	3063	0.0467383841
374.651033	3143	0.0479591058
375.097711	3071	0.0468604562
375.544389	3292	0.0502327001
375.991066	3201	0.0488441291
376.437744	3466	0.0528877699
376.884422	3052	0.0465705348
377.331100	3134	0.0478217746
377.777778	3430	0.0523384451
378.224456	3154	0.0481269551
378.671133	3171	0.0483863584
379.117811	3118	0.0475776303
379.564489	3194	0.0487373159
380.011167	3271	0.0499122606
380.457845	3401	0.0518959335
380.904523	3310	0.0505073625
381.351200	3124	0.0476691844
381.797878	3097	0.0472571908
382.244556	2974	0.0453803311
382.691234	3439	0.0524757763
383.137912	3209	0.0489662013
383.584590	3262	0.0497749294
384.031267	3173	0.0484168765
384.477945	3089	0.0471351186
384.924623	3483	0.0531471733
385.371301	2943	0.0449073014
385.817979	3081	0.0470130465
386.264657	3252	0.0496223392
386.711334	3389	0.0517128252
387.158012	3122	0.0476386664
387.604690	2905	0.0443274586
388.051368	3068	0.0468146792
388.498046	3467	0.0529030289
388.944724	3061	0.0467078660
389.391401	3233	0.0493324178
389.838079	2948	0.0449835966
390.284757	3084	0.0470588235
390.731435	3289	0.0501869230
391.178113	3028	0.0462043183
391.624791	3245	0.0495155261
392.071468	3165	0.0482948043
392.518146	3209	0.0489662013
392.964824	3209	0.0489662013
393.411502	3155	0.0481422141
393.858180	3195	0.0487525750
394.304858	3016	0.0460212100
394.751535	3327	0.0507667659
395.198213	3284	0.0501106279
395.644891	3223	0.0491798276
396.091569	2850	0.0434882124
396.538247	3524	0.0537727932
396.984925	2946	0.0449530785
397.431602	3306	0.0504463264
397.878280	3157	0.0481727321
398.324958	3319	0.0506446937
398.771636	3233	0.0493324178
399.218314	3220	0.0491340505
399.664992	2895	0.0441748684
400.111669	2891	0.0441138323
400.558347	3528	0.0538338293
401.005025	3148	0.0480354009
401.451703	3331	0.0508278019
401.898381	3104	0.0473640040
402.345059	3423	0.0522316320
402.791736	3049	0.0465247578
403.238414	3271	0.0499122606
403.685092	2931	0.0447241932
404.131770	3102	0.0473334859
404.578448	3096	0.0472419318
405.025126	3290	0.0502021820
405.471803	3217	0.0490882734
405.918481	3107	0.0474097810
406.365159	2967	0.0452735180
406.811837	2899	0.0442359045
407.258515	3224	0.0491950866
407.705193	3085	0.0470740826
408.151870	3142	0.0479438468
408.598548	3141	0.0479285878
409.045226	3267	0.0498512245
409.491904	3035	0.0463111315
409.938582	2922	0.0445868620
